Id,Site Id,Longitude,Latitude,Report Date / Time,Air Temperature,Wet Bulb,Dew Point,Concrete Temp.,Grass Temp.,Min. Temp. (last 24hr),Max. Temp. (last 24hr),Soil Temp. (at 10cm),Soil Temp. (at 30cm),Soil Temp. (at 100cm),Mean Sea-Level Pressure,Pressure (At Station),Relative Humidity,Rainfall Rate,Rainfall Accumulation,Rainfall,Wind Speed,Wind Direction,Wind Gust,Wind Gust Direction,Snow Depth,Soil Moisture,Present Weather,Visibility,Total Cloud Cover,Sunshine,Ground State,Day of Thunder,Day of Gales,Day of Hail,Day of Snow,Weather Diary,Travel Disruption,Hazards causing Travel Disruption,Property or Infrastructure Damage,Hazards causing Property or Infrastructure Damage,Personal Health and Safety,Hazards causing Personal Health and Safety,Utility Disruption,Hazards causing Utility Disruption,Service or Business Disruption,Hazards causing Service or Business Disruption,Agriculture Habitat Damage,Hazards causing Agriculture Habitat Damage,Disruption to Camping Events Leisure Activities,Hazards causing Disruption to Camping Events Leisure Activities,v1_Coastal,v1_Flood,v1_Ice,v1_Landslide,v1_Lightning,v1_PoorVisibility,v1_Snow,v1_Wildfire,v1_Wind,v1_Other,file_name
﻿202302013wuodjpb3ce65gsryyb96smozo,429976050,144.906600952148,-37.7276000976563,2023-02-01 00:50:00,18.3,,13.0,,,12.5,21.8,,,,1006.5,,71,0.0,0.0,,21.0,202.5,28.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_feb.csv
20230201mffuou7b4oe65gsryyb96smozo,429976050,144.906600952148,-37.7276000976563,2023-02-01 01:50:00,16.0,,15.2,,,12.5,21.8,,,,1006.9,,95,0.0,0.0,,13.0,157.5,28.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_feb.csv
20230201sebfp77b5oe65gsryyb96scn7a,429976050,144.906600952148,-37.7276000976563,2023-02-01 02:50:00,18.0,,13.9,,,12.5,21.8,,,,1006.9,,77,0.0,0.0,,11.0,202.5,28.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_feb.csv
202302018o5eaypbhwe65gsryyb96smozo,429976050,144.906600952148,-37.7276000976563,2023-02-01 03:50:00,16.7,,13.0,,,12.5,21.8,,,,1006.6,,79,0.0,0.0,,16.0,180.0,28.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_feb.csv
20230201qzumgupb7we65gsryyb96scn7a,429976050,144.906600952148,-37.7276000976563,2023-02-01 04:50:00,17.5,,13.0,,,12.5,21.8,,,,1006.2,,75,0.0,0.0,,13.0,157.5,28.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_feb.csv
202302014q5ezdpb6we65gsryyb96scn7a,429976050,144.906600952148,-37.7276000976563,2023-02-01 05:50:00,17.9,,10.5,,,12.5,21.8,,,,1005.7,,62,0.0,0.0,,11.0,157.5,28.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_feb.csv
20230201kn5kmw7b9ae65gsryyb96smozo,429976050,144.906600952148,-37.7276000976563,2023-02-01 06:50:00,18.0,,9.4,,,12.5,21.8,,,,1005.3,,57,0.0,0.0,,12.0,180.0,28.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_feb.csv
20230201wnhjstpnyae65gsryyb96scn7a,429976050,144.906600952148,-37.7276000976563,2023-02-01 07:50:00,17.4,,10.3,,,17.2,21.8,,,,1005.0,,63,0.0,0.0,,10.0,135.0,28.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_feb.csv
20230201htcz3ifnbae65gsryyb96smozo,429976050,144.906600952148,-37.7276000976563,2023-02-01 08:50:00,17.0,,9.7,,,17.0,21.8,,,,1004.9,,62,0.0,0.0,,9.0,180.0,28.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_feb.csv
20230201j4jx8mpnnhe65gsryyb96smozo,429976050,144.906600952148,-37.7276000976563,2023-02-01 09:50:00,16.5,,9.2,,,16.5,21.8,,,,1005.1,,62,0.0,0.0,,10.0,180.0,28.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_feb.csv
