Id,Site Id,Longitude,Latitude,Report Date / Time,Air Temperature,Wet Bulb,Dew Point,Concrete Temp.,Grass Temp.,Min. Temp. (last 24hr),Max. Temp. (last 24hr),Soil Temp. (at 10cm),Soil Temp. (at 30cm),Soil Temp. (at 100cm),Mean Sea-Level Pressure,Pressure (At Station),Relative Humidity,Rainfall Rate,Rainfall Accumulation,Rainfall,Wind Speed,Wind Direction,Wind Gust,Wind Gust Direction,Snow Depth,Soil Moisture,Present Weather,Visibility,Total Cloud Cover,Sunshine,Ground State,Day of Thunder,Day of Gales,Day of Hail,Day of Snow,Weather Diary,Travel Disruption,Hazards causing Travel Disruption,Property or Infrastructure Damage,Hazards causing Property or Infrastructure Damage,Personal Health and Safety,Hazards causing Personal Health and Safety,Utility Disruption,Hazards causing Utility Disruption,Service or Business Disruption,Hazards causing Service or Business Disruption,Agriculture Habitat Damage,Hazards causing Agriculture Habitat Damage,Disruption to Camping Events Leisure Activities,Hazards causing Disruption to Camping Events Leisure Activities,v1_Coastal,v1_Flood,v1_Ice,v1_Landslide,v1_Lightning,v1_PoorVisibility,v1_Snow,v1_Wildfire,v1_Wind,v1_Other,file_name
﻿20230101ajhdekhjphe65f7oyyb96sm4se,429976050,144.906600952148,-37.7276000976563,2023-01-01 00:50:00,32.0,,17.1,,,16.4,33.1,,,,1009.5,,41,0.0,0.0,,16.0,,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_jan.csv
20230101gn4674cjxye65f7oyyb96sm4se,429976050,144.906600952148,-37.7276000976563,2023-01-01 01:50:00,33.6,,16.9,,,16.4,33.8,,,,1009.2,,37,0.0,0.0,,11.0,0.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_jan.csv
20230101tbmceycjoye65f7oyyb96sm4ma,429976050,144.906600952148,-37.7276000976563,2023-01-01 02:50:00,34.8,,16.1,,,16.4,34.8,,,,1008.6,,32,0.0,0.0,,12.0,0.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_jan.csv
202301017d3huncjtye65f7oyyb96sm4se,429976050,144.906600952148,-37.7276000976563,2023-01-01 03:50:00,35.1,,13.3,,,16.4,35.1,,,,1007.9,,27,0.0,0.0,,8.0,337.5,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_jan.csv
20230101mkwrc8rj1re65f7oyyb96sm4ma,429976050,144.906600952148,-37.7276000976563,2023-01-01 04:50:00,34.0,,12.9,,,16.4,36.5,,,,1007.3,,28,0.0,0.0,,11.0,337.5,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_jan.csv
202301011myeexcjure65f7oyyb96sm4se,429976050,144.906600952148,-37.7276000976563,2023-01-01 05:50:00,34.4,,12.1,,,16.4,36.5,,,,1006.8,,26,0.0,0.0,,4.0,0.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_jan.csv
20230101bohtt6cjwee65f7oyyb96sm4se,429976050,144.906600952148,-37.7276000976563,2023-01-01 06:50:00,35.3,,12.9,,,16.4,36.5,,,,1006.0,,26,0.0,0.0,,4.0,337.5,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_jan.csv
20230101pzh8gfrjiee65f7oyyb96sm4se,429976050,144.906600952148,-37.7276000976563,2023-01-01 07:50:00,34.5,,12.2,,,34.5,36.5,,,,1005.8,,26,0.0,0.0,,7.0,0.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_jan.csv
202301013nz4dyhjsee65f7oyyb96sm4se,429976050,144.906600952148,-37.7276000976563,2023-01-01 08:50:00,33.7,,13.7,,,33.5,36.5,,,,1005.7,,30,0.0,0.0,,9.0,0.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_jan.csv
20230101e8ukb9wjzce65f7oyyb96sm4ma,429976050,144.906600952148,-37.7276000976563,2023-01-01 09:50:00,31.3,,14.0,,,31.3,36.5,,,,1006.0,,35,0.0,0.0,,5.0,22.5,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_jan.csv
