Id,Site Id,Longitude,Latitude,Report Date / Time,Air Temperature,Wet Bulb,Dew Point,Concrete Temp.,Grass Temp.,Min. Temp. (last 24hr),Max. Temp. (last 24hr),Soil Temp. (at 10cm),Soil Temp. (at 30cm),Soil Temp. (at 100cm),Mean Sea-Level Pressure,Pressure (At Station),Relative Humidity,Rainfall Rate,Rainfall Accumulation,Rainfall,Wind Speed,Wind Direction,Wind Gust,Wind Gust Direction,Snow Depth,Soil Moisture,Present Weather,Visibility,Total Cloud Cover,Sunshine,Ground State,Day of Thunder,Day of Gales,Day of Hail,Day of Snow,Weather Diary,Travel Disruption,Hazards causing Travel Disruption,Property or Infrastructure Damage,Hazards causing Property or Infrastructure Damage,Personal Health and Safety,Hazards causing Personal Health and Safety,Utility Disruption,Hazards causing Utility Disruption,Service or Business Disruption,Hazards causing Service or Business Disruption,Agriculture Habitat Damage,Hazards causing Agriculture Habitat Damage,Disruption to Camping Events Leisure Activities,Hazards causing Disruption to Camping Events Leisure Activities,v1_Coastal,v1_Flood,v1_Ice,v1_Landslide,v1_Lightning,v1_PoorVisibility,v1_Snow,v1_Wildfire,v1_Wind,v1_Other,file_name
﻿20221130qka3xkdojee65f7oyyb96sm4ma,429976050,144.906600952148,-37.7276000976563,2022-11-30 00:50:00,17.2,,9.1,,,9.8,17.5,,,,1019.2,,59,0,0,,6.0,202.5,13.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_nov.csv
20221130hzwrrcuokee65f7oyyb96sm4se,429976050,144.906600952148,-37.7276000976563,2022-11-30 01:50:00,17.3,,8.7,,,9.8,18.0,,,,1018.6,,57,0,0,,5.0,180.0,15.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_nov.csv
20221130gw5tf9uomce65f7oyyb96sm4ma,429976050,144.906600952148,-37.7276000976563,2022-11-30 02:50:00,17.7,,8.8,,,9.8,18.4,,,,1018.1,,56,0,0,,12.0,157.5,19.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_nov.csv
20221130i6xgmndocce65f7oyyb96sm4ma,429976050,144.906600952148,-37.7276000976563,2022-11-30 03:50:00,18.5,,8.5,,,9.8,19.0,,,,1017.6,,52,0,0,,13.0,157.5,19.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_nov.csv
20221130e7rhu9uopoe65f7oyyb96sm4se,429976050,144.906600952148,-37.7276000976563,2022-11-30 04:50:00,18.6,,8.6,,,9.8,19.0,,,,1017.0,,52,0,0,,14.0,202.5,21.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_nov.csv
20221130ja8mxnuoqoe65f7oyyb96sm4se,429976050,144.906600952148,-37.7276000976563,2022-11-30 05:50:00,18.6,,9.4,,,9.8,19.2,,,,1017.0,,55,0,0,,13.0,157.5,21.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_nov.csv
202211303sounrmoxoe65f7oyyb96sm4se,429976050,144.906600952148,-37.7276000976563,2022-11-30 06:50:00,17.2,,10.3,,,9.8,19.2,,,,1017.0,,64,0,0,,15.0,157.5,21.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_nov.csv
20221130mtmp74doowe65f7oyyb96sm4ma,429976050,144.906600952148,-37.7276000976563,2022-11-30 07:50:00,16.7,,10.3,,,16.3,19.2,,,,1017.5,,66,0,0,,13.0,180.0,21.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_nov.csv
202211301dutr75otwe65f7oyyb96sm4se,429976050,144.906600952148,-37.7276000976563,2022-11-30 08:50:00,15.3,,9.7,,,15.3,19.2,,,,1018.0,,69,0,0,,11.0,157.5,21.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_nov.csv
202211305dc183uo1we65f7oyyb96sm4se,429976050,144.906600952148,-37.7276000976563,2022-11-30 09:50:00,14.7,,11.1,,,14.7,19.2,,,,1018.3,,79,0,0,,11.0,180.0,21.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_nov.csv
20221130p4wwt4mouae65f7oyyb96sm4se,429976050,144.906600952148,-37.7276000976563,2022-11-30 10:50:00,14.0,,12.4,,,14.0,19.2,,,,1018.6,,90,0,0,,9.0,180.0,21.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_nov.csv
20221130hu6x1udowae65f7oyyb96sm4se,429976050,144.906600952148,-37.7276000976563,2022-11-30 11:50:00,13.7,,10.7,,,13.6,19.2,,,,1018.7,,82,0,0,,8.0,157.5,21.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_nov.csv
20221130b3p719moihe65f7oyyb96sm4ma,429976050,144.906600952148,-37.7276000976563,2022-11-30 12:50:00,13.9,,12.1,,,13.2,19.2,,,,1018.7,,89,0,0,,7.0,157.5,21.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_nov.csv
20221130k7kamc5oshe65f7oyyb96sm4ma,429976050,144.906600952148,-37.7276000976563,2022-11-30 13:50:00,12.7,,11.8,,,12.7,19.2,,,,1018.3,,94,0,0,,6.0,135.0,11.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea_nov.csv
