Id,Site Id,Longitude,Latitude,Report Date / Time,Air Temperature,Wet Bulb,Dew Point,Concrete Temp.,Grass Temp.,Min. Temp. (last 24hr),Max. Temp. (last 24hr),Soil Temp. (at 10cm),Soil Temp. (at 30cm),Soil Temp. (at 100cm),Mean Sea-Level Pressure,Pressure (At Station),Relative Humidity,Rainfall Rate,Rainfall Accumulation,Rainfall,Wind Speed,Wind Direction,Wind Gust,Wind Gust Direction,Snow Depth,Soil Moisture,Present Weather,Visibility,Total Cloud Cover,Sunshine,Ground State,Day of Thunder,Day of Gales,Day of Hail,Day of Snow,Weather Diary,Travel Disruption,Hazards causing Travel Disruption,Property or Infrastructure Damage,Hazards causing Property or Infrastructure Damage,Personal Health and Safety,Hazards causing Personal Health and Safety,Utility Disruption,Hazards causing Utility Disruption,Service or Business Disruption,Hazards causing Service or Business Disruption,Agriculture Habitat Damage,Hazards causing Agriculture Habitat Damage,Disruption to Camping Events Leisure Activities,Hazards causing Disruption to Camping Events Leisure Activities,v1_Coastal,v1_Flood,v1_Ice,v1_Landslide,v1_Lightning,v1_PoorVisibility,v1_Snow,v1_Wildfire,v1_Wind,v1_Other,file_name
﻿20221201wadxrz5tnce65f7oyyb96sm4ma,431896033,144.756500244141,-37.8564987182617,2022-12-01 00:50:00,16.6,,12.4,,,12.5,17.8,,,,1018.9,,76,0.0,0.0,,9.0,157.5,15.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221201brcdf4dtdoe65f7oyyb96sm4ma,431896033,144.756500244141,-37.8564987182617,2022-12-01 01:50:00,17.5,,11.5,,,12.5,17.8,,,,1018.7,,68,0.0,0.0,,8.0,180.0,15.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221201k3e619dtroe65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-01 02:50:00,18.2,,11.3,,,12.5,18.6,,,,1018.2,,64,0.0,0.0,,11.0,180.0,16.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221201b4bw7eutfwe65f7oyyb96sm4ma,431896033,144.756500244141,-37.8564987182617,2022-12-01 03:50:00,18.4,,12.2,,,12.5,18.7,,,,1018.0,,67,0.0,0.0,,16.0,180.0,21.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221201jqgz4r5tgwe65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-01 04:50:00,17.9,,10.8,,,12.5,18.8,,,,1018.0,,63,0.0,0.0,,15.0,180.0,21.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221201towmok5t8we65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-01 05:50:00,17.0,,9.9,,,12.5,18.8,,,,1017.9,,63,0.0,0.0,,13.0,180.0,21.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221201hd1dj6mtewe65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-01 06:50:00,17.0,,9.4,,,12.5,18.8,,,,1017.8,,61,0.0,0.0,,12.0,180.0,21.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221201oom3oa5tjae65f7oyyb96sm4ma,431896033,144.756500244141,-37.8564987182617,2022-12-01 07:50:00,16.2,,9.4,,,16.1,18.8,,,,1018.0,,64,0.0,0.0,,11.0,180.0,21.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221201upuwkemtkae65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-01 08:50:00,15.0,,8.5,,,15.0,18.8,,,,1018.4,,65,0.0,0.0,,13.0,180.0,21.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221201nt31mi5tmhe65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-01 09:50:00,13.5,,8.6,,,13.5,18.8,,,,1018.6,,72,0.0,0.0,,8.0,180.0,21.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221201q1gozbdtche65f7oyyb96sm4ma,431896033,144.756500244141,-37.8564987182617,2022-12-01 10:50:00,13.4,,8.9,,,13.3,18.8,,,,1019.1,,74,0.0,0.0,,8.0,180.0,21.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221201az8xxmdtphe65f7oyyb96sm4ma,431896033,144.756500244141,-37.8564987182617,2022-12-01 11:50:00,12.9,,8.6,,,12.8,18.8,,,,1019.4,,75,0.0,0.0,,8.0,157.5,21.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221201ft31kh5txye65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-01 12:50:00,13.2,,8.5,,,12.7,18.8,,,,1019.4,,73,0.0,0.0,,9.0,157.5,21.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221201zetepq5toye65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-01 13:50:00,13.0,,8.5,,,12.7,18.8,,,,1019.1,,74,0.0,0.0,,6.0,157.5,11.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
202212019migat5ttye65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-01 14:50:00,12.2,,8.3,,,12.2,18.8,,,,1018.6,,77,0.0,0.0,,6.0,157.5,13.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221201tyfz855t1re65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-01 15:50:00,12.8,,8.5,,,12.2,18.8,,,,1018.0,,75,0.0,0.0,,4.0,157.5,13.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
202212014s3d58dture65f7oyyb96sm4ma,431896033,144.756500244141,-37.8564987182617,2022-12-01 16:50:00,12.5,,8.2,,,12.2,18.8,,,,1017.3,,75,0.0,0.0,,5.0,180.0,13.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221201dxk3a6utwee65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-01 17:50:00,11.7,,8.4,,,11.7,18.8,,,,1017.1,,80,0.0,0.0,,4.0,157.5,13.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221201ow6xoydtiee65f7oyyb96sm4ma,431896033,144.756500244141,-37.8564987182617,2022-12-01 18:50:00,11.7,,8.6,,,11.4,18.8,,,,1017.5,,81,0.0,0.0,,3.0,157.5,13.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
202212019x8gagutsee65f7oyyb96sm4ma,431896033,144.756500244141,-37.8564987182617,2022-12-01 19:50:00,12.7,,9.7,,,11.4,12.7,,,,1017.8,,82,0.0,0.0,,4.0,157.5,13.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221201kcmmxgmtzce65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-01 20:50:00,13.9,,9.7,,,11.4,13.9,,,,1017.9,,76,0.0,0.0,,5.0,180.0,26.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221201wwqofi5tace65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-01 21:50:00,15.3,,10.1,,,11.4,15.9,,,,1018.5,,71,0.0,0.0,,4.0,135.0,26.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221201ynw9c35t3oe65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-01 22:50:00,16.2,,10.5,,,11.4,16.4,,,,1018.5,,69,0.0,0.0,,7.0,112.5,26.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221201wnsdehmt4oe65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-01 23:50:00,16.7,,10.5,,,11.4,17.2,,,,1018.2,,67,0.0,0.0,,7.0,135.0,26.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
﻿20221202hmx1pndt5oe65f7oyyb96sm4ma,431896033,144.756500244141,-37.8564987182617,2022-12-02 00:50:00,18.2,,11.5,,,11.4,18.3,,,,1017.6,,65,0.0,0.0,,6.0,112.5,26.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221202gknromdthwe65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-02 01:50:00,19.5,,11.8,,,11.4,19.5,,,,1017.0,,61,0.0,0.0,,6.0,90.0,26.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221202x884yzut7we65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-02 02:50:00,20.4,,12.1,,,11.4,20.7,,,,1016.2,,59,0.0,0.0,,8.0,135.0,26.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
202212029uqifu5t6we65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-02 03:50:00,21.5,,12.9,,,11.4,21.6,,,,1015.8,,58,0.0,0.0,,7.0,157.5,26.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221202eiomkm5t9ae65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-02 04:50:00,22.0,,13.4,,,11.4,22.7,,,,1015.3,,58,0.0,0.0,,8.0,157.5,26.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
2022120216f9wid1yae65f7oyyb96sm4ma,431896033,144.756500244141,-37.8564987182617,2022-12-02 05:50:00,21.9,,13.0,,,11.4,22.7,,,,1015.1,,57,0.0,0.0,,10.0,157.5,26.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221202drctqfm1bhe65f7oyyb96sm4ma,431896033,144.756500244141,-37.8564987182617,2022-12-02 06:50:00,21.3,,13.2,,,11.4,22.7,,,,1014.9,,60,0.0,0.0,,10.0,180.0,26.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221202p67je5d1nhe65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-02 07:50:00,20.1,,13.8,,,20.1,22.7,,,,1015.2,,67,0.0,0.0,,10.0,180.0,26.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
202212027bjjwwu1dhe65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-02 08:50:00,19.0,,14.1,,,19.0,22.7,,,,1015.7,,73,0.0,0.0,,7.0,180.0,26.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
202212028y6f9sd1fye65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-02 09:50:00,17.7,,13.6,,,17.7,22.7,,,,1015.9,,77,0.0,0.0,,5.0,202.5,26.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221202uocjmq51gye65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-02 10:50:00,17.1,,14.0,,,17.1,22.7,,,,1016.3,,82,0.0,0.0,,6.0,270.0,26.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221202b6bn33u18re65f7oyyb96sm4ma,431896033,144.756500244141,-37.8564987182617,2022-12-02 11:50:00,16.0,,13.8,,,16.0,22.7,,,,1016.4,,87,0.0,0.0,,6.0,247.5,26.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
202212021yjn3ad1ere65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-02 12:50:00,15.3,,14.2,,,15.3,22.7,,,,1016.3,,93,0.0,0.0,,4.0,247.5,26.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
202212023jzi1yd1jre65f7oyyb96sm4ma,431896033,144.756500244141,-37.8564987182617,2022-12-02 13:50:00,14.7,,14.4,,,14.7,22.7,,,,1016.2,,98,0.0,0.0,,4.0,270.0,9.0,247.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221202rp8pyjd1kee65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-02 14:50:00,13.5,,13.3,,,13.5,22.7,,,,1015.5,,99,0.0,0.0,,5.0,292.5,9.0,247.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221202wrehmkm1mee65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-02 15:50:00,12.7,,12.7,,,12.6,22.7,,,,1015.2,,100,0.0,0.0,,3.0,292.5,9.0,247.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
202212028rtnutd1cce65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-02 16:50:00,12.2,,12.2,,,12.2,22.7,,,,1015.0,,100,0.0,0.0,,4.0,292.5,9.0,247.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221202cd3tjqm1pce65f7oyyb96sm4ma,431896033,144.756500244141,-37.8564987182617,2022-12-02 17:50:00,11.9,,11.9,,,11.9,22.7,,,,1014.9,,100,0.0,0.0,,3.0,292.5,9.0,247.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221202axscaqu1qce65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-02 18:50:00,11.8,,11.8,,,11.7,22.7,,,,1015.1,,100,0.0,0.0,,4.0,292.5,9.0,247.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221202bkb66y51xoe65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-02 19:50:00,14.1,,13.9,,,11.7,14.1,,,,1015.3,,99,0.0,0.0,,3.0,0.0,9.0,247.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221202q6y1u1d1ooe65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-02 20:50:00,17.5,,14.0,,,11.7,17.5,,,,1015.5,,80,0.0,0.0,,3.0,0.0,9.0,247.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
2022120248m4ht51toe65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-02 21:50:00,21.6,,14.7,,,11.7,21.6,,,,1015.6,,65,0.0,0.0,,8.0,67.5,9.0,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221202eiy8adu11we65f7oyyb96sm4ma,431896033,144.756500244141,-37.8564987182617,2022-12-02 22:50:00,25.8,,15.2,,,11.7,25.8,,,,1015.2,,52,0.0,0.0,,8.0,22.5,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221202zws8sc51uwe65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-02 23:50:00,28.3,,15.9,,,11.7,28.3,,,,1014.9,,47,0.0,0.0,,7.0,337.5,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
﻿202212036ch6bru1wwe65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-03 00:50:00,29.2,,12.2,,,11.7,30.2,,,,1014.3,,35,0.0,0.0,,8.0,337.5,15.0,337.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221203phu3sgm1iae65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-12-03 01:50:00,28.7,,15.6,,,11.7,30.5,,,,1014.0,,45,0.0,0.0,,5.0,157.5,23.0,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
20221203zuwahu51sae65f7oyyb96sm4ma,431896033,144.756500244141,-37.8564987182617,2022-12-03 02:50:00,29.4,,15.1,,,11.7,30.5,,,,1013.8,,41,0.0,0.0,,10.0,157.5,23.0,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_dec.csv
