Id,Site Id,Longitude,Latitude,Report Date / Time,Air Temperature,Wet Bulb,Dew Point,Concrete Temp.,Grass Temp.,Min. Temp. (last 24hr),Max. Temp. (last 24hr),Soil Temp. (at 10cm),Soil Temp. (at 30cm),Soil Temp. (at 100cm),Mean Sea-Level Pressure,Pressure (At Station),Relative Humidity,Rainfall Rate,Rainfall Accumulation,Rainfall,Wind Speed,Wind Direction,Wind Gust,Wind Gust Direction,Snow Depth,Soil Moisture,Present Weather,Visibility,Total Cloud Cover,Sunshine,Ground State,Day of Thunder,Day of Gales,Day of Hail,Day of Snow,Weather Diary,Travel Disruption,Hazards causing Travel Disruption,Property or Infrastructure Damage,Hazards causing Property or Infrastructure Damage,Personal Health and Safety,Hazards causing Personal Health and Safety,Utility Disruption,Hazards causing Utility Disruption,Service or Business Disruption,Hazards causing Service or Business Disruption,Agriculture Habitat Damage,Hazards causing Agriculture Habitat Damage,Disruption to Camping Events Leisure Activities,Hazards causing Disruption to Camping Events Leisure Activities,v1_Coastal,v1_Flood,v1_Ice,v1_Landslide,v1_Lightning,v1_PoorVisibility,v1_Snow,v1_Wildfire,v1_Wind,v1_Other,file_name
﻿202302013wuodm7b3ce65gsryyb96smozo,431896033,144.756500244141,-37.8564987182617,2023-02-01 00:50:00,16.4,,13.9,,,10.8,21.6,,,,1007.1,,85,0.0,0.0,,18.0,202.5,27.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_feb.csv
20230201mffuoifb4oe65gsryyb96smozo,431896033,144.756500244141,-37.8564987182617,2023-02-01 01:50:00,20.4,,11.9,,,10.8,21.6,,,,1006.9,,58,0.0,0.0,,11.0,202.5,27.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_feb.csv
20230201sebfp9fb5oe65gsryyb96scn7a,431896033,144.756500244141,-37.8564987182617,2023-02-01 02:50:00,19.3,,11.1,,,10.8,21.6,,,,1006.9,,59,0.0,0.0,,13.0,180.0,27.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_feb.csv
202302018o5eabibhwe65gsryyb96smozo,431896033,144.756500244141,-37.8564987182617,2023-02-01 03:50:00,17.8,,11.6,,,10.8,21.6,,,,1006.9,,67,0.0,0.0,,13.0,202.5,27.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_feb.csv
20230201qzumgwib7we65gsryyb96scn7a,431896033,144.756500244141,-37.8564987182617,2023-02-01 04:50:00,18.5,,10.6,,,10.8,21.6,,,,1006.4,,60,0.0,0.0,,10.0,180.0,27.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_feb.csv
202302014q5ezrib6we65gsryyb96scn7a,431896033,144.756500244141,-37.8564987182617,2023-02-01 05:50:00,18.2,,9.5,,,10.8,21.6,,,,1005.8,,57,0.0,0.0,,12.0,157.5,27.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_feb.csv
20230201k47p8w7b9ae65gsryyb96smozo,431896033,144.756500244141,-37.8564987182617,2023-02-01 06:50:00,17.6,,10.0,,,10.8,21.6,,,,1005.4,,61,0.0,0.0,,10.0,157.5,27.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_feb.csv
20230201wnhjs1inyae65gsryyb96scn7a,431896033,144.756500244141,-37.8564987182617,2023-02-01 07:50:00,17.6,,9.2,,,17.5,21.6,,,,1005.2,,58,0.0,0.0,,8.0,157.5,27.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_feb.csv
20230201htcz3spnbae65gsryyb96smozo,431896033,144.756500244141,-37.8564987182617,2023-02-01 08:50:00,16.7,,8.7,,,16.7,21.6,,,,1005.2,,59,0.0,0.0,,8.0,157.5,27.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_feb.csv
20230201j4jx8cinnhe65gsryyb96smozo,431896033,144.756500244141,-37.8564987182617,2023-02-01 09:50:00,16.4,,8.9,,,16.2,21.6,,,,1005.5,,61,0.0,0.0,,9.0,180.0,27.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_feb.csv
