Id,Site Id,Longitude,Latitude,Report Date / Time,Air Temperature,Wet Bulb,Dew Point,Concrete Temp.,Grass Temp.,Min. Temp. (last 24hr),Max. Temp. (last 24hr),Soil Temp. (at 10cm),Soil Temp. (at 30cm),Soil Temp. (at 100cm),Mean Sea-Level Pressure,Pressure (At Station),Relative Humidity,Rainfall Rate,Rainfall Accumulation,Rainfall,Wind Speed,Wind Direction,Wind Gust,Wind Gust Direction,Snow Depth,Soil Moisture,Present Weather,Visibility,Total Cloud Cover,Sunshine,Ground State,Day of Thunder,Day of Gales,Day of Hail,Day of Snow,Weather Diary,Travel Disruption,Hazards causing Travel Disruption,Property or Infrastructure Damage,Hazards causing Property or Infrastructure Damage,Personal Health and Safety,Hazards causing Personal Health and Safety,Utility Disruption,Hazards causing Utility Disruption,Service or Business Disruption,Hazards causing Service or Business Disruption,Agriculture Habitat Damage,Hazards causing Agriculture Habitat Damage,Disruption to Camping Events Leisure Activities,Hazards causing Disruption to Camping Events Leisure Activities,v1_Coastal,v1_Flood,v1_Ice,v1_Landslide,v1_Lightning,v1_PoorVisibility,v1_Snow,v1_Wildfire,v1_Wind,v1_Other,file_name
﻿20230101ajhdepcjphe65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2023-01-01 00:50:00,33.2,,16.5,,,16.1,33.6,,,,1009.1,,36,0.0,0.0,,13.0,22.5,19.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_jan.csv
20230101gn4675wjxye65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2023-01-01 01:50:00,34.3,,15.2,,,16.1,34.9,,,,1008.6,,31,0.0,0.0,,13.0,337.5,20.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_jan.csv
20230101t4g177hjoye65f7oyyb96sm4ma,431896033,144.756500244141,-37.8564987182617,2023-01-01 02:50:00,35.2,,15.0,,,16.1,35.8,,,,1008.1,,30,0.0,0.0,,10.0,0.0,20.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_jan.csv
202301017d3hudwjtye65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2023-01-01 03:50:00,36.0,,13.5,,,16.1,36.4,,,,1007.4,,26,0.0,0.0,,10.0,337.5,20.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_jan.csv
20230101mkwrcecj1re65f7oyyb96sm4ma,431896033,144.756500244141,-37.8564987182617,2023-01-01 04:50:00,35.8,,13.3,,,16.1,37.3,,,,1006.7,,26,0.0,0.0,,11.0,337.5,25.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_jan.csv
202301011myeeowjure65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2023-01-01 05:50:00,36.1,,13.6,,,16.1,37.3,,,,1006.2,,26,0.0,0.0,,6.0,337.5,25.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_jan.csv
20230101njy7utwjwee65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2023-01-01 06:50:00,36.9,,13.0,,,16.1,37.3,,,,1005.4,,24,0.0,0.0,,4.0,292.5,25.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_jan.csv
20230101pzh8ggcjiee65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2023-01-01 07:50:00,37.1,,11.8,,,36.4,37.3,,,,1005.2,,22,0.0,0.0,,3.0,22.5,25.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_jan.csv
202301013nz4dnrjsee65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2023-01-01 08:50:00,34.5,,13.3,,,34.5,37.3,,,,1005.3,,27,0.0,0.0,,8.0,45.0,25.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_jan.csv
20230101e8uknyhjzce65f7oyyb96sm4ma,431896033,144.756500244141,-37.8564987182617,2023-01-01 09:50:00,31.9,,13.6,,,31.9,37.3,,,,1005.4,,32,0.0,0.0,,5.0,22.5,25.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_jan.csv
