Id,Site Id,Longitude,Latitude,Report Date / Time,Air Temperature,Wet Bulb,Dew Point,Concrete Temp.,Grass Temp.,Min. Temp. (last 24hr),Max. Temp. (last 24hr),Soil Temp. (at 10cm),Soil Temp. (at 30cm),Soil Temp. (at 100cm),Mean Sea-Level Pressure,Pressure (At Station),Relative Humidity,Rainfall Rate,Rainfall Accumulation,Rainfall,Wind Speed,Wind Direction,Wind Gust,Wind Gust Direction,Snow Depth,Soil Moisture,Present Weather,Visibility,Total Cloud Cover,Sunshine,Ground State,Day of Thunder,Day of Gales,Day of Hail,Day of Snow,Weather Diary,Travel Disruption,Hazards causing Travel Disruption,Property or Infrastructure Damage,Hazards causing Property or Infrastructure Damage,Personal Health and Safety,Hazards causing Personal Health and Safety,Utility Disruption,Hazards causing Utility Disruption,Service or Business Disruption,Hazards causing Service or Business Disruption,Agriculture Habitat Damage,Hazards causing Agriculture Habitat Damage,Disruption to Camping Events Leisure Activities,Hazards causing Disruption to Camping Events Leisure Activities,v1_Coastal,v1_Flood,v1_Ice,v1_Landslide,v1_Lightning,v1_PoorVisibility,v1_Snow,v1_Wildfire,v1_Wind,v1_Other,file_name
﻿20221130qka3xcuojee65f7oyyb96sm4ma,431896033,144.756500244141,-37.8564987182617,2022-11-30 00:50:00,17.3,,8.4,,,8.4,17.5,,,,1019.5,,56,0,0,,7.0,225.0,15.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_nov.csv
202211307omi4cmokee65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-11-30 01:50:00,18.6,,9.9,,,8.4,18.6,,,,1018.8,,57,0,0,,7.0,180.0,15.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_nov.csv
20221130gw5tgy5omce65f7oyyb96sm4ma,431896033,144.756500244141,-37.8564987182617,2022-11-30 02:50:00,17.8,,9.7,,,8.4,19.0,,,,1018.4,,59,0,0,,10.0,157.5,15.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_nov.csv
20221130i6xgmdmocce65f7oyyb96sm4ma,431896033,144.756500244141,-37.8564987182617,2022-11-30 03:50:00,18.0,,9.4,,,8.4,19.0,,,,1017.9,,57,0,0,,13.0,135.0,18.0,112.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_nov.csv
20221130e7rhwy5opoe65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-11-30 04:50:00,18.2,,10.6,,,8.4,19.0,,,,1017.4,,61,0,0,,12.0,135.0,18.0,112.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_nov.csv
20221130ja8mxd5oqoe65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-11-30 05:50:00,17.2,,11.2,,,8.4,19.0,,,,1017.4,,68,0,0,,11.0,157.5,18.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_nov.csv
202211303sounfuoxoe65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-11-30 06:50:00,16.0,,10.5,,,8.4,19.0,,,,1017.5,,70,0,0,,12.0,157.5,19.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_nov.csv
20221130mtmp75moowe65f7oyyb96sm4ma,431896033,144.756500244141,-37.8564987182617,2022-11-30 07:50:00,15.2,,9.6,,,15.2,19.0,,,,1018.0,,69,0,0,,14.0,157.5,19.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_nov.csv
202211301dutr9dotwe65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-11-30 08:50:00,14.9,,10.3,,,14.9,19.0,,,,1018.3,,74,0,0,,9.0,157.5,19.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_nov.csv
2022113055a8fguo1we65f7oyyb96sm4se,431896033,144.756500244141,-37.8564987182617,2022-11-30 09:50:00,14.0,,10.8,,,14.0,19.0,,,,1018.7,,81,0,0,,9.0,180.0,19.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la_nov.csv
