Id,Site Id,Longitude,Latitude,Report Date / Time,Air Temperature,Wet Bulb,Dew Point,Concrete Temp.,Grass Temp.,Min. Temp. (last 24hr),Max. Temp. (last 24hr),Soil Temp. (at 10cm),Soil Temp. (at 30cm),Soil Temp. (at 100cm),Mean Sea-Level Pressure,Pressure (At Station),Relative Humidity,Rainfall Rate,Rainfall Accumulation,Rainfall,Wind Speed,Wind Direction,Wind Gust,Wind Gust Direction,Snow Depth,Soil Moisture,Present Weather,Visibility,Total Cloud Cover,Sunshine,Ground State,Day of Thunder,Day of Gales,Day of Hail,Day of Snow,Weather Diary,Travel Disruption,Hazards causing Travel Disruption,Property or Infrastructure Damage,Hazards causing Property or Infrastructure Damage,Personal Health and Safety,Hazards causing Personal Health and Safety,Utility Disruption,Hazards causing Utility Disruption,Service or Business Disruption,Hazards causing Service or Business Disruption,Agriculture Habitat Damage,Hazards causing Agriculture Habitat Damage,Disruption to Camping Events Leisure Activities,Hazards causing Disruption to Camping Events Leisure Activities,v1_Coastal,v1_Flood,v1_Ice,v1_Landslide,v1_Lightning,v1_PoorVisibility,v1_Snow,v1_Wildfire,v1_Wind,v1_Other,file_name
﻿202302013wuod8pb3ce65gsryyb96smozo,432846061,144.83219909668,-37.6654014587402,2023-02-01 00:50:00,20.0,,10.4,,,10.2,21.1,,,,1006.5,,54,0.0,0.0,,13.0,225.0,20.0,225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_feb.csv
20230201mffuo17b4oe65gsryyb96smozo,432846061,144.83219909668,-37.6654014587402,2023-02-01 01:50:00,17.7,,12.4,,,10.2,21.1,,,,1007.1,,71,0.0,0.0,,11.0,202.5,26.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_feb.csv
20230201sebfph7b5oe65gsryyb96scn7a,432846061,144.83219909668,-37.6654014587402,2023-02-01 02:50:00,18.2,,12.2,,,10.2,21.1,,,,1007.1,,68,0.0,0.0,,11.0,202.5,26.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_feb.csv
202302018o5ez9pbhwe65gsryyb96smozo,432846061,144.83219909668,-37.6654014587402,2023-02-01 03:50:00,17.7,,11.3,,,10.2,21.1,,,,1006.7,,66,0.0,0.0,,11.0,180.0,26.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_feb.csv
20230201qzumg1pb7we65gsryyb96scn7a,432846061,144.83219909668,-37.6654014587402,2023-02-01 04:50:00,17.5,,11.1,,,10.2,21.1,,,,1006.3,,66,0.0,0.0,,11.0,180.0,26.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_feb.csv
202302014q5eznpb6we65gsryyb96scn7a,432846061,144.83219909668,-37.6654014587402,2023-02-01 05:50:00,17.1,,10.0,,,10.2,21.1,,,,1005.9,,63,0.0,0.0,,11.0,180.0,26.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_feb.csv
20230201kn5kmu7b9ae65gsryyb96smozo,432846061,144.83219909668,-37.6654014587402,2023-02-01 06:50:00,17.3,,9.5,,,10.2,21.1,,,,1005.5,,60,0.0,0.0,,9.0,180.0,26.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_feb.csv
20230201wnhjsopnyae65gsryyb96scn7a,432846061,144.83219909668,-37.6654014587402,2023-02-01 07:50:00,17.2,,9.6,,,17.1,21.1,,,,1005.1,,61,0.0,0.0,,11.0,202.5,26.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_feb.csv
20230201htcz3wfnbae65gsryyb96smozo,432846061,144.83219909668,-37.6654014587402,2023-02-01 08:50:00,16.6,,9.5,,,16.5,21.1,,,,1005.2,,63,0.0,0.0,,8.0,180.0,26.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_feb.csv
20230201j4jx8kpnnhe65gsryyb96smozo,432846061,144.83219909668,-37.6654014587402,2023-02-01 09:50:00,16.0,,8.7,,,16.0,21.1,,,,1005.3,,62,0.0,0.0,,8.0,180.0,26.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_feb.csv
20230201hyhturindhe65gsryyb96smozo,432846061,144.83219909668,-37.6654014587402,2023-02-01 10:50:00,15.7,,8.9,,,15.5,21.1,,,,1005.7,,64,0.0,0.0,,7.0,202.5,26.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_feb.csv
20230201nbdhaf7nfye65gsryyb96smozo,432846061,144.83219909668,-37.6654014587402,2023-02-01 11:50:00,14.7,,8.6,,,14.6,21.1,,,,1005.4,,67,0.0,0.0,,6.0,202.5,26.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_feb.csv
20230201iysfbzpngye65gsryyb96smozo,432846061,144.83219909668,-37.6654014587402,2023-02-01 12:50:00,13.5,,7.7,,,13.3,21.1,,,,1004.4,,68,0.0,0.0,,4.0,180.0,26.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_feb.csv
202302016snwcs7n8ye65gsryyb96scn7a,432846061,144.83219909668,-37.6654014587402,2023-02-01 13:50:00,12.1,,7.4,,,11.6,21.1,,,,1003.7,,73,0.0,0.0,,4.0,270.0,5.0,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_feb.csv
