Id,Site Id,Longitude,Latitude,Report Date / Time,Air Temperature,Wet Bulb,Dew Point,Concrete Temp.,Grass Temp.,Min. Temp. (last 24hr),Max. Temp. (last 24hr),Soil Temp. (at 10cm),Soil Temp. (at 30cm),Soil Temp. (at 100cm),Mean Sea-Level Pressure,Pressure (At Station),Relative Humidity,Rainfall Rate,Rainfall Accumulation,Rainfall,Wind Speed,Wind Direction,Wind Gust,Wind Gust Direction,Snow Depth,Soil Moisture,Present Weather,Visibility,Total Cloud Cover,Sunshine,Ground State,Day of Thunder,Day of Gales,Day of Hail,Day of Snow,Weather Diary,Travel Disruption,Hazards causing Travel Disruption,Property or Infrastructure Damage,Hazards causing Property or Infrastructure Damage,Personal Health and Safety,Hazards causing Personal Health and Safety,Utility Disruption,Hazards causing Utility Disruption,Service or Business Disruption,Hazards causing Service or Business Disruption,Agriculture Habitat Damage,Hazards causing Agriculture Habitat Damage,Disruption to Camping Events Leisure Activities,Hazards causing Disruption to Camping Events Leisure Activities,v1_Coastal,v1_Flood,v1_Ice,v1_Landslide,v1_Lightning,v1_PoorVisibility,v1_Snow,v1_Wildfire,v1_Wind,v1_Other,file_name
﻿20221130qka3xedojee65f7oyyb96sm4ma,432846061,144.83219909668,-37.6654014587402,2022-11-30 00:50:00,17.7,,8.8,,,9.3,18.2,,,,1019.3,,56,0.0,0.0,,10.0,157.5,15.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
20221130hzwrrmuokee65f7oyyb96sm4se,432846061,144.83219909668,-37.6654014587402,2022-11-30 01:50:00,18.3,,9.6,,,9.3,18.4,,,,1018.7,,57,0.0,0.0,,11.0,180.0,17.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
20221130gw5tf6uomce65f7oyyb96sm4ma,432846061,144.83219909668,-37.6654014587402,2022-11-30 02:50:00,18.3,,9.9,,,9.3,18.9,,,,1018.2,,58,0.0,0.0,,10.0,202.5,17.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
20221130i6xgmbdocce65f7oyyb96sm4ma,432846061,144.83219909668,-37.6654014587402,2022-11-30 03:50:00,17.9,,8.5,,,9.3,19.0,,,,1017.8,,54,0.0,0.0,,9.0,180.0,18.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
20221130e7rhu6uopoe65f7oyyb96sm4se,432846061,144.83219909668,-37.6654014587402,2022-11-30 04:50:00,18.1,,7.5,,,9.3,19.1,,,,1017.2,,50,0.0,0.0,,13.0,225.0,18.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
20221130ja8mxbuoqoe65f7oyyb96sm4se,432846061,144.83219909668,-37.6654014587402,2022-11-30 05:50:00,18.8,,9.8,,,9.3,19.1,,,,1017.0,,56,0.0,0.0,,12.0,180.0,21.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
202211303soundmoxoe65f7oyyb96sm4se,432846061,144.83219909668,-37.6654014587402,2022-11-30 06:50:00,17.8,,11.1,,,9.3,19.1,,,,1017.2,,65,0.0,0.0,,15.0,157.5,21.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
20221130mtmp73doowe65f7oyyb96sm4ma,432846061,144.83219909668,-37.6654014587402,2022-11-30 07:50:00,15.1,,9.9,,,15.1,19.1,,,,1017.8,,71,0.0,0.0,,11.0,180.0,21.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
202211301dutrh5otwe65f7oyyb96sm4se,432846061,144.83219909668,-37.6654014587402,2022-11-30 08:50:00,14.8,,9.2,,,14.8,19.1,,,,1018.2,,69,0.0,0.0,,10.0,180.0,21.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
202211305dc18auo1we65f7oyyb96sm4se,432846061,144.83219909668,-37.6654014587402,2022-11-30 09:50:00,14.3,,9.9,,,14.3,19.1,,,,1018.5,,75,0.0,0.0,,8.0,202.5,21.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
20221130pnq69huouae65f7oyyb96sm4se,432846061,144.83219909668,-37.6654014587402,2022-11-30 10:50:00,13.2,,10.7,,,13.1,19.1,,,,1018.9,,85,0.0,0.0,,9.0,202.5,21.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
20221130556o8ydowae65f7oyyb96sm4se,432846061,144.83219909668,-37.6654014587402,2022-11-30 11:50:00,13.0,,10.5,,,12.5,19.1,,,,1019.0,,85,0.0,0.0,,8.0,180.0,21.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
20221130b3p716moihe65f7oyyb96sm4ma,432846061,144.83219909668,-37.6654014587402,2022-11-30 12:50:00,13.3,,10.5,,,12.5,19.1,,,,1018.9,,83,0.0,0.0,,9.0,180.0,21.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
20221130k7kamm5oshe65f7oyyb96sm4ma,432846061,144.83219909668,-37.6654014587402,2022-11-30 13:50:00,13.2,,10.6,,,12.5,19.1,,,,1018.4,,84,0.0,0.0,,9.0,180.0,12.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
20221130bmtcz75oaye65f7oyyb96sm4ma,432846061,144.83219909668,-37.6654014587402,2022-11-30 14:50:00,13.2,,10.7,,,12.5,19.1,,,,1018.2,,85,0.0,0.0,,8.0,157.5,12.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
202211308cg166mo3ye65f7oyyb96sm4ma,432846061,144.83219909668,-37.6654014587402,2022-11-30 15:50:00,13.2,,10.6,,,12.5,19.1,,,,1017.8,,84,0.0,0.0,,6.0,112.5,12.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
20221130tronyodo4ye65f7oyyb96sm4ma,432846061,144.83219909668,-37.6654014587402,2022-11-30 16:50:00,12.8,,10.7,,,12.5,19.1,,,,1017.7,,87,0.0,0.0,,10.0,135.0,12.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
202211306g7gr8mo5ye65f7oyyb96sm4se,432846061,144.83219909668,-37.6654014587402,2022-11-30 17:50:00,12.4,,11.3,,,12.4,19.1,,,,1017.8,,93,0.0,0.0,,5.0,180.0,12.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
20221130xpkta9uohre65f7oyyb96sm4se,432846061,144.83219909668,-37.6654014587402,2022-11-30 18:50:00,12.5,,11.4,,,12.2,19.1,,,,1018.0,,93,0.2,0.2,,7.0,157.5,12.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
20221130z34c5qdo7re65f7oyyb96sm4ma,432846061,144.83219909668,-37.6654014587402,2022-11-30 19:50:00,12.9,,11.8,,,12.2,13.1,,,,1018.3,,93,0.0,0.2,,5.0,202.5,12.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
20221130ndtcfsuo6ee65f7oyyb96sm4se,432846061,144.83219909668,-37.6654014587402,2022-11-30 20:50:00,14.1,,9.7,,,12.2,14.2,,,,1018.4,,75,0.0,0.2,,13.0,157.5,16.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_nov.csv
