Id,Site Id,Longitude,Latitude,Report Date / Time,Air Temperature,Wet Bulb,Dew Point,Concrete Temp.,Grass Temp.,Min. Temp. (last 24hr),Max. Temp. (last 24hr),Soil Temp. (at 10cm),Soil Temp. (at 30cm),Soil Temp. (at 100cm),Mean Sea-Level Pressure,Pressure (At Station),Relative Humidity,Rainfall Rate,Rainfall Accumulation,Rainfall,Wind Speed,Wind Direction,Wind Gust,Wind Gust Direction,Snow Depth,Soil Moisture,Present Weather,Visibility,Total Cloud Cover,Sunshine,Ground State,Day of Thunder,Day of Gales,Day of Hail,Day of Snow,Weather Diary,Travel Disruption,Hazards causing Travel Disruption,Property or Infrastructure Damage,Hazards causing Property or Infrastructure Damage,Personal Health and Safety,Hazards causing Personal Health and Safety,Utility Disruption,Hazards causing Utility Disruption,Service or Business Disruption,Hazards causing Service or Business Disruption,Agriculture Habitat Damage,Hazards causing Agriculture Habitat Damage,Disruption to Camping Events Leisure Activities,Hazards causing Disruption to Camping Events Leisure Activities,v1_Coastal,v1_Flood,v1_Ice,v1_Landslide,v1_Lightning,v1_PoorVisibility,v1_Snow,v1_Wildfire,v1_Wind,v1_Other,file_name
﻿20221201wyfxf7dtnce65f7oyyb96sm4ma,423506029,144.981597900391,-37.8255004882813,2022-12-01 00:50:00,17.0,,11.7,,,12.1,17.4,,,,1019.4,,71,0.0,0.0,,6.0,202.5,13.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_dec.csv
20221201brcdfzutdoe65f7oyyb96sm4ma,423506029,144.981597900391,-37.8255004882813,2022-12-01 01:50:00,16.9,,12.2,,,12.1,17.4,,,,1019.2,,74,0.0,0.0,,7.0,202.5,14.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_dec.csv
20221201k3e61hutroe65f7oyyb96sm4se,423506029,144.981597900391,-37.8255004882813,2022-12-01 02:50:00,17.5,,11.1,,,12.1,17.9,,,,1018.8,,66,0.0,0.0,,10.0,180.0,15.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_dec.csv
20221201b4bw7gdtfwe65f7oyyb96sm4ma,423506029,144.981597900391,-37.8255004882813,2022-12-01 03:50:00,18.0,,11.1,,,12.1,18.6,,,,1018.5,,64,0.0,0.0,,8.0,225.0,17.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_dec.csv
20221201jqgz4nmtgwe65f7oyyb96sm4se,423506029,144.981597900391,-37.8255004882813,2022-12-01 04:50:00,17.6,,10.2,,,12.1,18.8,,,,1018.4,,62,0.0,0.0,,11.0,180.0,18.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_dec.csv
20221201towmoemt8we65f7oyyb96sm4se,423506029,144.981597900391,-37.8255004882813,2022-12-01 05:50:00,16.7,,10.3,,,12.1,18.8,,,,1018.4,,66,0.0,0.0,,10.0,202.5,19.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_dec.csv
20221201hd1dj55tewe65f7oyyb96sm4se,423506029,144.981597900391,-37.8255004882813,2022-12-01 06:50:00,17.5,,10.1,,,12.1,18.8,,,,1018.4,,62,0.0,0.0,,3.0,247.5,19.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_dec.csv
20221201oom3osmtjae65f7oyyb96sm4ma,423506029,144.981597900391,-37.8255004882813,2022-12-01 07:50:00,16.8,,8.8,,,16.8,18.8,,,,1018.6,,59,0.0,0.0,,9.0,180.0,19.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_dec.csv
20221201upuwkf5tkae65f7oyyb96sm4se,423506029,144.981597900391,-37.8255004882813,2022-12-01 08:50:00,15.7,,8.4,,,15.7,18.8,,,,1018.9,,62,0.0,0.0,,7.0,202.5,19.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_dec.csv
20221201nt31mumtmhe65f7oyyb96sm4se,423506029,144.981597900391,-37.8255004882813,2022-12-01 09:50:00,15.0,,8.0,,,14.9,18.8,,,,1019.2,,63,0.0,0.0,,5.0,157.5,19.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_dec.csv
