Id,Site Id,Longitude,Latitude,Report Date / Time,Air Temperature,Wet Bulb,Dew Point,Concrete Temp.,Grass Temp.,Min. Temp. (last 24hr),Max. Temp. (last 24hr),Soil Temp. (at 10cm),Soil Temp. (at 30cm),Soil Temp. (at 100cm),Mean Sea-Level Pressure,Pressure (At Station),Relative Humidity,Rainfall Rate,Rainfall Accumulation,Rainfall,Wind Speed,Wind Direction,Wind Gust,Wind Gust Direction,Snow Depth,Soil Moisture,Present Weather,Visibility,Total Cloud Cover,Sunshine,Ground State,Day of Thunder,Day of Gales,Day of Hail,Day of Snow,Weather Diary,Travel Disruption,Hazards causing Travel Disruption,Property or Infrastructure Damage,Hazards causing Property or Infrastructure Damage,Personal Health and Safety,Hazards causing Personal Health and Safety,Utility Disruption,Hazards causing Utility Disruption,Service or Business Disruption,Hazards causing Service or Business Disruption,Agriculture Habitat Damage,Hazards causing Agriculture Habitat Damage,Disruption to Camping Events Leisure Activities,Hazards causing Disruption to Camping Events Leisure Activities,v1_Coastal,v1_Flood,v1_Ice,v1_Landslide,v1_Lightning,v1_PoorVisibility,v1_Snow,v1_Wildfire,v1_Wind,v1_Other,file_name
﻿202302013wuodg7b3ce65gsryyb96smozo,423506029,144.981597900391,-37.8255004882813,2023-02-01 00:50:00,17.9,,13.6,,,14.9,21.0,,,,1007.7,,76,0.0,0.0,,9.0,202.5,21.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
20230201mffuo1ib4oe65gsryyb96smozo,423506029,144.981597900391,-37.8255004882813,2023-02-01 01:50:00,17.8,,14.1,,,14.9,21.0,,,,1007.8,,79,0.0,0.2,,4.0,225.0,21.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
20230201sebfphib5oe65gsryyb96scn7a,423506029,144.981597900391,-37.8255004882813,2023-02-01 02:50:00,18.4,,11.9,,,14.9,21.0,,,,1007.7,,66,0.0,0.2,,10.0,180.0,21.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
202302018o5ez9fbhwe65gsryyb96smozo,423506029,144.981597900391,-37.8255004882813,2023-02-01 03:50:00,18.3,,11.6,,,14.9,21.0,,,,1007.5,,65,0.0,0.2,,7.0,225.0,21.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
20230201qzumg1fb7we65gsryyb96scn7a,423506029,144.981597900391,-37.8255004882813,2023-02-01 04:50:00,17.9,,11.2,,,14.9,21.0,,,,1007.1,,65,0.0,0.2,,5.0,225.0,21.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
202302014q5eznfb6we65gsryyb96scn7a,423506029,144.981597900391,-37.8255004882813,2023-02-01 05:50:00,18.3,,10.2,,,14.9,21.0,,,,1006.6,,59,0.0,0.2,,11.0,202.5,21.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
20230201kn5kmuib9ae65gsryyb96smozo,423506029,144.981597900391,-37.8255004882813,2023-02-01 06:50:00,18.5,,9.3,,,14.9,21.0,,,,1006.1,,55,0.0,0.2,,7.0,180.0,21.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
20230201wnhjsofnyae65gsryyb96scn7a,423506029,144.981597900391,-37.8255004882813,2023-02-01 07:50:00,18.3,,9.9,,,18.0,21.0,,,,1005.9,,58,0.0,0.2,,5.0,202.5,21.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
20230201htcz3u7nbae65gsryyb96smozo,423506029,144.981597900391,-37.8255004882813,2023-02-01 08:50:00,17.8,,9.2,,,17.7,21.0,,,,1005.9,,57,0.0,0.2,,4.0,157.5,21.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
20230201j4jx8kfnnhe65gsryyb96smozo,423506029,144.981597900391,-37.8255004882813,2023-02-01 09:50:00,17.0,,8.7,,,17.0,21.0,,,,1006.1,,58,0.0,0.2,,3.0,180.0,21.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
20230201hyhturpndhe65gsryyb96smozo,423506029,144.981597900391,-37.8255004882813,2023-02-01 10:50:00,16.9,,9.1,,,16.9,21.0,,,,1006.3,,60,0.0,0.2,,6.0,157.5,21.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
20230201nbdhafinfye65gsryyb96smozo,423506029,144.981597900391,-37.8255004882813,2023-02-01 11:50:00,16.6,,8.3,,,16.6,21.0,,,,1005.9,,58,0.0,0.2,,3.0,180.0,21.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
20230201iysfbzfngye65gsryyb96smozo,423506029,144.981597900391,-37.8255004882813,2023-02-01 12:50:00,15.2,,8.4,,,15.2,21.0,,,,1005.0,,64,0.0,0.2,,1.0,157.5,21.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
202302016snwcsin8ye65gsryyb96scn7a,423506029,144.981597900391,-37.8255004882813,2023-02-01 13:50:00,15.7,,7.0,,,14.8,21.0,,,,1004.3,,56,0.0,0.2,,3.0,112.5,5.0,112.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
20230201e3obq6inere65gsryyb96smozo,423506029,144.981597900391,-37.8255004882813,2023-02-01 14:50:00,15.6,,6.1,,,14.8,21.0,,,,1003.2,,53,0.0,0.2,,3.0,135.0,5.0,112.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
20230201iggp35fnjre65gsryyb96smozo,423506029,144.981597900391,-37.8255004882813,2023-02-01 15:50:00,15.4,,6.4,,,14.8,21.0,,,,1002.3,,55,0.0,0.2,,0.0,0.0,5.0,112.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
20230201bc4o5e7nkee65gsryyb96scn7a,423506029,144.981597900391,-37.8255004882813,2023-02-01 16:50:00,14.7,,7.5,,,14.7,21.0,,,,1000.9,,62,0.0,0.2,,4.0,22.5,7.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
20230201onu77minmee65gsryyb96smozo,423506029,144.981597900391,-37.8255004882813,2023-02-01 17:50:00,14.7,,6.5,,,14.2,21.0,,,,1000.5,,58,0.0,0.2,,3.0,247.5,7.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
20230201za99iaincee65gsryyb96smozo,423506029,144.981597900391,-37.8255004882813,2023-02-01 18:50:00,14.7,,6.5,,,14.2,21.0,,,,1000.0,,58,0.0,0.2,,0.0,0.0,7.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
20230201fcd8tsfnpce65gsryyb96smozo,423506029,144.981597900391,-37.8255004882813,2023-02-01 19:50:00,14.6,,6.7,,,14.2,14.7,,,,1000.0,,59,0.0,0.2,,5.0,337.5,8.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
202302011q4cg97nqce65gsryyb96smozo,423506029,144.981597900391,-37.8255004882813,2023-02-01 20:50:00,14.7,,6.3,,,14.2,14.8,,,,999.6,,57,0.0,0.2,,5.0,292.5,11.0,337.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
202302014dzszopnxce65gsryyb96smozo,423506029,144.981597900391,-37.8255004882813,2023-02-01 21:50:00,15.5,,4.8,,,14.2,15.7,,,,999.2,,49,0.0,0.2,,7.0,315.0,11.0,337.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
20230201cheqp17nooe65gsryyb96smozo,423506029,144.981597900391,-37.8255004882813,2023-02-01 22:50:00,16.5,,3.6,,,14.2,16.9,,,,998.2,,42,0.0,0.0,,13.0,0.0,18.0,337.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
202302014t1jjupntoe65gsryyb96smozo,423506029,144.981597900391,-37.8255004882813,2023-02-01 23:50:00,17.7,,3.2,,,14.2,18.0,,,,997.1,,38,0.0,0.0,,10.0,337.5,18.0,337.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
﻿20230202n18cnppn1we65gsryyb96smozo,423506029,144.981597900391,-37.8255004882813,2023-02-02 00:50:00,18.6,,5.1,,,14.2,18.6,,,,995.8,,41,0.0,0.0,,9.0,315.0,18.0,337.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
20230202o3cqrkinuwe65gsryyb96smozo,423506029,144.981597900391,-37.8255004882813,2023-02-02 01:50:00,18.8,,4.6,,,14.2,19.9,,,,994.5,,39,0.0,0.0,,13.0,337.5,20.0,337.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
20230202h6mh1winwwe65gsryyb96scn7a,423506029,144.981597900391,-37.8255004882813,2023-02-02 02:50:00,19.7,,5.7,,,14.2,19.9,,,,992.7,,40,0.0,0.0,,15.0,337.5,28.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
20230202f58qfz7niae65gsryyb96smozo,423506029,144.981597900391,-37.8255004882813,2023-02-02 03:50:00,19.9,,5.9,,,14.2,21.3,,,,991.5,,40,0.0,0.0,,17.0,0.0,30.0,337.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
20230202wo3qfkpnsae65gsryyb96smozo,423506029,144.981597900391,-37.8255004882813,2023-02-02 04:50:00,19.9,,6.6,,,14.2,21.3,,,,990.2,,42,0.0,0.0,,10.0,337.5,30.0,337.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
2023020269qggr7nzae65gsryyb96smozo,423506029,144.981597900391,-37.8255004882813,2023-02-02 05:50:00,11.8,,10.0,,,14.2,21.3,,,,992.8,,89,0.0,5.6,,6.0,247.5,30.0,337.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
20230202e11xahinahe65gsryyb96smozo,423506029,144.981597900391,-37.8255004882813,2023-02-02 06:50:00,12.1,,9.8,,,14.2,21.3,,,,992.7,,86,0.0,9.8,,3.0,315.0,30.0,337.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
20230202s6xfb8fn3he65gsryyb96scn7a,423506029,144.981597900391,-37.8255004882813,2023-02-02 07:50:00,13.2,,10.0,,,12.3,21.3,,,,992.3,,81,0.0,10.4,,6.0,337.5,30.0,337.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
20230202d5pu6cin5ye65gsryyb96smozo,423506029,144.981597900391,-37.8255004882813,2023-02-02 08:50:00,13.1,,9.9,,,12.3,21.3,,,,992.6,,81,0.0,10.8,,6.0,0.0,30.0,337.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
20230202w857i87nhye65gsryyb96smozo,423506029,144.981597900391,-37.8255004882813,2023-02-02 09:50:00,13.5,,8.4,,,12.3,21.3,,,,993.2,,71,0.0,10.8,,6.0,315.0,30.0,337.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_feb.csv
