Id,Site Id,Longitude,Latitude,Report Date / Time,Air Temperature,Wet Bulb,Dew Point,Concrete Temp.,Grass Temp.,Min. Temp. (last 24hr),Max. Temp. (last 24hr),Soil Temp. (at 10cm),Soil Temp. (at 30cm),Soil Temp. (at 100cm),Mean Sea-Level Pressure,Pressure (At Station),Relative Humidity,Rainfall Rate,Rainfall Accumulation,Rainfall,Wind Speed,Wind Direction,Wind Gust,Wind Gust Direction,Snow Depth,Soil Moisture,Present Weather,Visibility,Total Cloud Cover,Sunshine,Ground State,Day of Thunder,Day of Gales,Day of Hail,Day of Snow,Weather Diary,Travel Disruption,Hazards causing Travel Disruption,Property or Infrastructure Damage,Hazards causing Property or Infrastructure Damage,Personal Health and Safety,Hazards causing Personal Health and Safety,Utility Disruption,Hazards causing Utility Disruption,Service or Business Disruption,Hazards causing Service or Business Disruption,Agriculture Habitat Damage,Hazards causing Agriculture Habitat Damage,Disruption to Camping Events Leisure Activities,Hazards causing Disruption to Camping Events Leisure Activities,v1_Coastal,v1_Flood,v1_Ice,v1_Landslide,v1_Lightning,v1_PoorVisibility,v1_Snow,v1_Wildfire,v1_Wind,v1_Other,file_name
﻿20230101ajhdeecjphe65f7oyyb96sm4se,423506029,144.981597900391,-37.8255004882813,2023-01-01 00:50:00,31.5,,17.0,,,18.4,31.8,,,,1010.3,,41,0.0,0.0,,8.0,0.0,16.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_jan.csv
20230101gn4673rjxye65f7oyyb96sm4se,423506029,144.981597900391,-37.8255004882813,2023-01-01 01:50:00,33.2,,16.5,,,18.4,33.5,,,,1009.6,,36,0.0,0.0,,8.0,0.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_jan.csv
20230101tbmc89rjoye65f7oyyb96sm4ma,423506029,144.981597900391,-37.8255004882813,2023-01-01 02:50:00,33.5,,12.5,,,18.4,34.2,,,,1009.1,,28,0.0,0.0,,9.0,0.0,17.0,337.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_jan.csv
20230101hm48ytrjtye65f7oyyb96sm4se,423506029,144.981597900391,-37.8255004882813,2023-01-01 03:50:00,34.3,,12.6,,,18.4,35.1,,,,1008.3,,27,0.0,0.0,,7.0,22.5,17.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_jan.csv
20230101mkwrcfhj1re65f7oyyb96sm4ma,423506029,144.981597900391,-37.8255004882813,2023-01-01 04:50:00,35.6,,15.3,,,18.4,35.6,,,,1007.6,,29,0.0,0.0,,8.0,0.0,17.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_jan.csv
202301011myeeqrjure65f7oyyb96sm4se,423506029,144.981597900391,-37.8255004882813,2023-01-01 05:50:00,34.9,,14.2,,,18.4,35.9,,,,1007.2,,28,0.0,0.0,,9.0,315.0,17.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_jan.csv
20230101bohtt7rjwee65f7oyyb96sm4se,423506029,144.981597900391,-37.8255004882813,2023-01-01 06:50:00,35.0,,14.3,,,18.4,35.9,,,,1006.5,,29,0.0,0.0,,9.0,0.0,17.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_jan.csv
20230101pzh8gdhjiee65f7oyyb96sm4se,423506029,144.981597900391,-37.8255004882813,2023-01-01 07:50:00,35.6,,13.1,,,34.2,35.9,,,,1006.1,,25,0.0,0.0,,7.0,45.0,17.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_jan.csv
202301013nz4n9wjsee65f7oyyb96sm4se,423506029,144.981597900391,-37.8255004882813,2023-01-01 08:50:00,34.7,,13.5,,,34.2,35.9,,,,1006.2,,28,0.0,0.0,,5.0,45.0,17.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_jan.csv
20230101e8ukb6cjzce65f7oyyb96sm4ma,423506029,144.981597900391,-37.8255004882813,2023-01-01 09:50:00,33.2,,13.8,,,33.2,35.9,,,,1006.4,,31,0.0,0.0,,5.0,45.0,17.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_jan.csv
