Id,Site Id,Longitude,Latitude,Report Date / Time,Air Temperature,Wet Bulb,Dew Point,Concrete Temp.,Grass Temp.,Min. Temp. (last 24hr),Max. Temp. (last 24hr),Soil Temp. (at 10cm),Soil Temp. (at 30cm),Soil Temp. (at 100cm),Mean Sea-Level Pressure,Pressure (At Station),Relative Humidity,Rainfall Rate,Rainfall Accumulation,Rainfall,Wind Speed,Wind Direction,Wind Gust,Wind Gust Direction,Snow Depth,Soil Moisture,Present Weather,Visibility,Total Cloud Cover,Sunshine,Ground State,Day of Thunder,Day of Gales,Day of Hail,Day of Snow,Weather Diary,Travel Disruption,Hazards causing Travel Disruption,Property or Infrastructure Damage,Hazards causing Property or Infrastructure Damage,Personal Health and Safety,Hazards causing Personal Health and Safety,Utility Disruption,Hazards causing Utility Disruption,Service or Business Disruption,Hazards causing Service or Business Disruption,Agriculture Habitat Damage,Hazards causing Agriculture Habitat Damage,Disruption to Camping Events Leisure Activities,Hazards causing Disruption to Camping Events Leisure Activities,v1_Coastal,v1_Flood,v1_Ice,v1_Landslide,v1_Lightning,v1_PoorVisibility,v1_Snow,v1_Wildfire,v1_Wind,v1_Other,file_name
﻿20221130qka3x8uojee65f7oyyb96sm4ma,423506029,144.981597900391,-37.8255004882813,2022-11-30 00:50:00,17.5,,8.4,,,11.6,17.7,,,,1020.3,,55,0,0,,5.0,202.5,13.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_nov.csv
20221130hzwrrmmokee65f7oyyb96sm4se,423506029,144.981597900391,-37.8255004882813,2022-11-30 01:50:00,16.9,,7.8,,,11.6,18.1,,,,1019.7,,55,0,0,,7.0,180.0,13.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_nov.csv
20221130gw5tf6momce65f7oyyb96sm4ma,423506029,144.981597900391,-37.8255004882813,2022-11-30 02:50:00,17.4,,7.5,,,11.6,18.1,,,,1019.3,,52,0,0,,8.0,180.0,14.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_nov.csv
20221130i6xgmy5occe65f7oyyb96sm4ma,423506029,144.981597900391,-37.8255004882813,2022-11-30 03:50:00,18.1,,9.2,,,11.6,18.2,,,,1018.7,,56,0,0,,6.0,247.5,14.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_nov.csv
20221130e7rhu6mopoe65f7oyyb96sm4se,423506029,144.981597900391,-37.8255004882813,2022-11-30 04:50:00,17.9,,9.5,,,11.6,18.3,,,,1018.1,,58,0,0,,6.0,225.0,15.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_nov.csv
20221130ja8mxbmoqoe65f7oyyb96sm4se,423506029,144.981597900391,-37.8255004882813,2022-11-30 05:50:00,17.3,,10.2,,,11.6,18.4,,,,1018.1,,63,0,0,,8.0,202.5,16.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_nov.csv
202211303sounddoxoe65f7oyyb96sm4se,423506029,144.981597900391,-37.8255004882813,2022-11-30 06:50:00,17.2,,10.1,,,11.6,18.4,,,,1018.1,,63,0,0,,8.0,180.0,17.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_nov.csv
20221130mtmp7a5oowe65f7oyyb96sm4ma,423506029,144.981597900391,-37.8255004882813,2022-11-30 07:50:00,16.6,,10.2,,,16.3,18.4,,,,1018.5,,66,0,0,,9.0,180.0,17.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_nov.csv
202211301dutrhuotwe65f7oyyb96sm4se,423506029,144.981597900391,-37.8255004882813,2022-11-30 08:50:00,15.7,,10.0,,,15.7,18.4,,,,1018.9,,69,0,0,,3.0,157.5,17.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_nov.csv
202211305dc18amo1we65f7oyyb96sm4se,423506029,144.981597900391,-37.8255004882813,2022-11-30 09:50:00,15.3,,10.5,,,15.3,18.4,,,,1019.1,,73,0,0,,4.0,225.0,17.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_nov.csv
20221130pnq69hmouae65f7oyyb96sm4se,423506029,144.981597900391,-37.8255004882813,2022-11-30 10:50:00,14.9,,8.6,,,14.9,18.4,,,,1019.6,,66,0,0,,5.0,157.5,17.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_nov.csv
20221130556og95owae65f7oyyb96sm4se,423506029,144.981597900391,-37.8255004882813,2022-11-30 11:50:00,14.3,,9.5,,,14.2,18.4,,,,1019.7,,73,0,0,,5.0,157.5,17.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_nov.csv
20221130b3p716doihe65f7oyyb96sm4ma,423506029,144.981597900391,-37.8255004882813,2022-11-30 12:50:00,13.7,,10.3,,,13.7,18.4,,,,1019.7,,80,0,0,,3.0,180.0,17.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_nov.csv
20221130k7kammuoshe65f7oyyb96sm4ma,423506029,144.981597900391,-37.8255004882813,2022-11-30 13:50:00,13.3,,10.7,,,13.2,18.4,,,,1019.3,,84,0,0,,3.0,180.0,6.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_nov.csv
20221130bmtcz7uoaye65f7oyyb96sm4ma,423506029,144.981597900391,-37.8255004882813,2022-11-30 14:50:00,12.3,,11.0,,,12.2,18.4,,,,1018.9,,92,0,0,,0.0,0.0,6.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_nov.csv
202211308cg166do3ye65f7oyyb96sm4ma,423506029,144.981597900391,-37.8255004882813,2022-11-30 15:50:00,12.6,,11.3,,,12.1,18.4,,,,1018.7,,92,0,0,,5.0,112.5,6.0,112.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_nov.csv
20221130tronyx5o4ye65f7oyyb96sm4ma,423506029,144.981597900391,-37.8255004882813,2022-11-30 16:50:00,13.5,,11.6,,,12.1,18.4,,,,1018.5,,88,0,0,,5.0,135.0,6.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_nov.csv
202211306g7gr8do5ye65f7oyyb96sm4se,423506029,144.981597900391,-37.8255004882813,2022-11-30 17:50:00,13.9,,11.6,,,12.1,18.4,,,,1018.5,,86,0,0,,4.0,135.0,9.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_nov.csv
20221130xpkta9mohre65f7oyyb96sm4se,423506029,144.981597900391,-37.8255004882813,2022-11-30 18:50:00,13.8,,11.3,,,12.1,18.4,,,,1018.6,,85,0,0,,4.0,157.5,9.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_nov.csv
20221130z34c5p5o7re65f7oyyb96sm4ma,423506029,144.981597900391,-37.8255004882813,2022-11-30 19:50:00,14.4,,11.7,,,12.1,14.4,,,,1019.0,,84,0,0,,5.0,135.0,9.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_nov.csv
20221130ndtcfsmo6ee65f7oyyb96sm4se,423506029,144.981597900391,-37.8255004882813,2022-11-30 20:50:00,15.0,,11.6,,,12.1,15.0,,,,1019.3,,80,0,0,,5.0,180.0,9.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_nov.csv
20221130s6pfiddo9ee65f7oyyb96sm4se,423506029,144.981597900391,-37.8255004882813,2022-11-30 21:50:00,15.8,,11.6,,,12.1,16.1,,,,1019.7,,76,0,0,,5.0,112.5,13.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_nov.csv
202211303j38dkutyee65f7oyyb96sm4se,423506029,144.981597900391,-37.8255004882813,2022-11-30 22:50:00,16.5,,9.7,,,12.1,17.1,,,,1019.9,,64,0,0,,7.0,157.5,13.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_nov.csv
20221130e6z4apmtbce65f7oyyb96sm4ma,423506029,144.981597900391,-37.8255004882813,2022-11-30 23:50:00,16.2,,10.7,,,12.1,17.3,,,,1019.5,,70,0,0,,6.0,202.5,13.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo_nov.csv
