Id,Site Id,Longitude,Latitude,Report Date / Time,Air Temperature,Wet Bulb,Dew Point,Concrete Temp.,Grass Temp.,Min. Temp. (last 24hr),Max. Temp. (last 24hr),Soil Temp. (at 10cm),Soil Temp. (at 30cm),Soil Temp. (at 100cm),Mean Sea-Level Pressure,Pressure (At Station),Relative Humidity,Rainfall Rate,Rainfall Accumulation,Rainfall,Wind Speed,Wind Direction,Wind Gust,Wind Gust Direction,Snow Depth,Soil Moisture,Present Weather,Visibility,Total Cloud Cover,Sunshine,Ground State,Day of Thunder,Day of Gales,Day of Hail,Day of Snow,Weather Diary,Travel Disruption,Hazards causing Travel Disruption,Property or Infrastructure Damage,Hazards causing Property or Infrastructure Damage,Personal Health and Safety,Hazards causing Personal Health and Safety,Utility Disruption,Hazards causing Utility Disruption,Service or Business Disruption,Hazards causing Service or Business Disruption,Agriculture Habitat Damage,Hazards causing Agriculture Habitat Damage,Disruption to Camping Events Leisure Activities,Hazards causing Disruption to Camping Events Leisure Activities,v1_Coastal,v1_Flood,v1_Ice,v1_Landslide,v1_Lightning,v1_PoorVisibility,v1_Snow,v1_Wildfire,v1_Wind,v1_Other,file_name
﻿20221201wadxramtnce65f7oyyb96sm4ma,408206028,145.096206665039,-37.9799995422363,2022-12-01 00:50:00,17.1,,10.5,,,10.4,17.8,,,,1018.6,,65,0.0,0.0,,9.0,157.5,15.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_dec.csv
20221201brcdf4mtdoe65f7oyyb96sm4ma,408206028,145.096206665039,-37.9799995422363,2022-12-01 01:50:00,17.8,,9.9,,,10.4,18.1,,,,1018.3,,60,0.0,0.0,,9.0,180.0,15.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_dec.csv
20221201k3e619mtroe65f7oyyb96sm4se,408206028,145.096206665039,-37.9799995422363,2022-12-01 02:50:00,17.8,,8.9,,,10.4,18.6,,,,1018.0,,56,0.0,0.0,,13.0,202.5,16.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_dec.csv
20221201b4bw7e5tfwe65f7oyyb96sm4ma,408206028,145.096206665039,-37.9799995422363,2022-12-01 03:50:00,18.9,,9.9,,,10.4,20.1,,,,1017.7,,56,0.0,0.0,,12.0,157.5,18.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_dec.csv
20221201jqgz4fdtgwe65f7oyyb96sm4se,408206028,145.096206665039,-37.9799995422363,2022-12-01 04:50:00,18.2,,9.5,,,10.4,20.1,,,,1017.6,,57,0.0,0.0,,11.0,202.5,18.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_dec.csv
20221201towmomdt8we65f7oyyb96sm4se,408206028,145.096206665039,-37.9799995422363,2022-12-01 05:50:00,16.9,,9.6,,,10.4,20.1,,,,1017.7,,62,0.0,0.0,,11.0,180.0,19.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_dec.csv
20221201hd1dj6utewe65f7oyyb96sm4se,408206028,145.096206665039,-37.9799995422363,2022-12-01 06:50:00,16.3,,9.0,,,10.4,20.1,,,,1017.7,,62,0.0,0.0,,12.0,180.0,19.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_dec.csv
20221201oom3o3dtjae65f7oyyb96sm4ma,408206028,145.096206665039,-37.9799995422363,2022-12-01 07:50:00,16.4,,8.6,,,16.2,20.1,,,,1017.8,,60,0.0,0.0,,11.0,180.0,19.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_dec.csv
20221201upuwkeutkae65f7oyyb96sm4se,408206028,145.096206665039,-37.9799995422363,2022-12-01 08:50:00,15.4,,7.9,,,15.4,20.1,,,,1018.1,,61,0.0,0.0,,10.0,180.0,19.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_dec.csv
20221201nt31msdtmhe65f7oyyb96sm4se,408206028,145.096206665039,-37.9799995422363,2022-12-01 09:50:00,13.7,,8.3,,,13.5,20.1,,,,1018.6,,70,0.0,0.0,,8.0,157.5,19.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_dec.csv
20221201q1gozbmtche65f7oyyb96sm4ma,408206028,145.096206665039,-37.9799995422363,2022-12-01 10:50:00,12.5,,7.8,,,11.8,20.1,,,,1019.1,,73,0.0,0.0,,7.0,157.5,19.0,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_dec.csv
