Id,Site Id,Longitude,Latitude,Report Date / Time,Air Temperature,Wet Bulb,Dew Point,Concrete Temp.,Grass Temp.,Min. Temp. (last 24hr),Max. Temp. (last 24hr),Soil Temp. (at 10cm),Soil Temp. (at 30cm),Soil Temp. (at 100cm),Mean Sea-Level Pressure,Pressure (At Station),Relative Humidity,Rainfall Rate,Rainfall Accumulation,Rainfall,Wind Speed,Wind Direction,Wind Gust,Wind Gust Direction,Snow Depth,Soil Moisture,Present Weather,Visibility,Total Cloud Cover,Sunshine,Ground State,Day of Thunder,Day of Gales,Day of Hail,Day of Snow,Weather Diary,Travel Disruption,Hazards causing Travel Disruption,Property or Infrastructure Damage,Hazards causing Property or Infrastructure Damage,Personal Health and Safety,Hazards causing Personal Health and Safety,Utility Disruption,Hazards causing Utility Disruption,Service or Business Disruption,Hazards causing Service or Business Disruption,Agriculture Habitat Damage,Hazards causing Agriculture Habitat Damage,Disruption to Camping Events Leisure Activities,Hazards causing Disruption to Camping Events Leisure Activities,v1_Coastal,v1_Flood,v1_Ice,v1_Landslide,v1_Lightning,v1_PoorVisibility,v1_Snow,v1_Wildfire,v1_Wind,v1_Other,file_name
﻿202302013wuodcpb3ce65gsryyb96smozo,408206028,145.096206665039,-37.9799995422363,2023-02-01 00:50:00,17.5,,14.4,,,13.2,20.7,,,,1006.7,,82,0.0,0.0,,11.0,247.5,23.0,247.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_feb.csv
20230201mffuoipb4oe65gsryyb96smozo,408206028,145.096206665039,-37.9799995422363,2023-02-01 01:50:00,18.4,,13.5,,,13.2,20.7,,,,1006.8,,73,0.0,0.2,,15.0,202.5,23.0,247.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_feb.csv
20230201sebfp9pb5oe65gsryyb96scn7a,408206028,145.096206665039,-37.9799995422363,2023-02-01 02:50:00,18.8,,13.0,,,13.2,20.7,,,,1006.8,,69,0.0,0.2,,13.0,202.5,23.0,247.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_feb.csv
202302018o5eab7bhwe65gsryyb96smozo,408206028,145.096206665039,-37.9799995422363,2023-02-01 03:50:00,19.4,,10.9,,,13.2,20.7,,,,1006.7,,58,0.0,0.2,,14.0,202.5,23.0,247.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_feb.csv
20230201qzumgw7b7we65gsryyb96scn7a,408206028,145.096206665039,-37.9799995422363,2023-02-01 04:50:00,19.8,,10.0,,,13.2,20.7,,,,1006.1,,53,0.0,0.2,,13.0,202.5,23.0,247.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_feb.csv
202302014q5ezr7b6we65gsryyb96scn7a,408206028,145.096206665039,-37.9799995422363,2023-02-01 05:50:00,19.0,,10.3,,,13.2,21.2,,,,1005.7,,57,0.0,0.2,,12.0,202.5,23.0,247.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_feb.csv
20230201k47p8ifb9ae65gsryyb96smozo,408206028,145.096206665039,-37.9799995422363,2023-02-01 06:50:00,18.6,,9.7,,,13.2,21.2,,,,1005.3,,56,0.0,0.2,,11.0,225.0,23.0,247.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_feb.csv
20230201wnhjs17nyae65gsryyb96scn7a,408206028,145.096206665039,-37.9799995422363,2023-02-01 07:50:00,18.1,,8.9,,,18.1,21.2,,,,1005.1,,55,0.0,0.2,,8.0,225.0,23.0,247.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_feb.csv
20230201htcz3sinbae65gsryyb96smozo,408206028,145.096206665039,-37.9799995422363,2023-02-01 08:50:00,17.5,,8.4,,,17.5,21.2,,,,1005.1,,55,0.0,0.2,,9.0,202.5,23.0,247.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_feb.csv
20230201j4jx8c7nnhe65gsryyb96smozo,408206028,145.096206665039,-37.9799995422363,2023-02-01 09:50:00,17.0,,8.9,,,16.8,21.2,,,,1005.4,,59,0.0,0.2,,9.0,202.5,23.0,247.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_feb.csv
