Id,Site Id,Longitude,Latitude,Report Date / Time,Air Temperature,Wet Bulb,Dew Point,Concrete Temp.,Grass Temp.,Min. Temp. (last 24hr),Max. Temp. (last 24hr),Soil Temp. (at 10cm),Soil Temp. (at 30cm),Soil Temp. (at 100cm),Mean Sea-Level Pressure,Pressure (At Station),Relative Humidity,Rainfall Rate,Rainfall Accumulation,Rainfall,Wind Speed,Wind Direction,Wind Gust,Wind Gust Direction,Snow Depth,Soil Moisture,Present Weather,Visibility,Total Cloud Cover,Sunshine,Ground State,Day of Thunder,Day of Gales,Day of Hail,Day of Snow,Weather Diary,Travel Disruption,Hazards causing Travel Disruption,Property or Infrastructure Damage,Hazards causing Property or Infrastructure Damage,Personal Health and Safety,Hazards causing Personal Health and Safety,Utility Disruption,Hazards causing Utility Disruption,Service or Business Disruption,Hazards causing Service or Business Disruption,Agriculture Habitat Damage,Hazards causing Agriculture Habitat Damage,Disruption to Camping Events Leisure Activities,Hazards causing Disruption to Camping Events Leisure Activities,v1_Coastal,v1_Flood,v1_Ice,v1_Landslide,v1_Lightning,v1_PoorVisibility,v1_Snow,v1_Wildfire,v1_Wind,v1_Other,file_name
﻿20230101ajhdephjphe65f7oyyb96sm4se,408206028,145.0962067,-37.97999954,1/01/2023 0:50,32.3,,16.2,,,17.1,32.8,,,,1009.4,,38,0.0,0.0,,12,0.0,17,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_jan.csv
20230101gn4675hjxye65f7oyyb96sm4se,408206028,145.0962067,-37.97999954,1/01/2023 1:50,33.7,,16.1,,,17.1,34.1,,,,1008.9,,34,0.0,0.0,,12,0.0,19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_jan.csv
20230101t4g176rjoye65f7oyyb96sm4ma,408206028,145.0962067,-37.97999954,1/01/2023 2:50,33.4,,15.4,,,17.1,35.1,,,,1008.2,,34,0.0,0.0,,9,22.5,23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_jan.csv
202301017d3hudhjtye65f7oyyb96sm4se,408206028,145.0962067,-37.97999954,1/01/2023 3:50,35.7,,14.9,,,17.1,35.8,,,,1007.8,,29,0.0,0.0,,10,337.5,23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_jan.csv
20230101mkwrcewj1re65f7oyyb96sm4ma,408206028,145.0962067,-37.97999954,1/01/2023 4:50,34.5,,12.2,,,17.1,36.2,,,,1007.1,,26,0.0,0.0,,6,0.0,23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_jan.csv
20230101udmaotcjure65f7oyyb96sm4se,408206028,145.0962067,-37.97999954,1/01/2023 5:50,35.6,,13.1,,,17.1,36.6,,,,1006.4,,25,0.0,0.0,,4,225.0,23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_jan.csv
20230101njy7uthjwee65f7oyyb96sm4se,408206028,145.0962067,-37.97999954,1/01/2023 6:50,35.8,,13.3,,,17.1,36.6,,,,1005.8,,26,0.0,0.0,,5,270.0,23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_jan.csv
20230101pzh8ggwjiee65f7oyyb96sm4se,408206028,145.0962067,-37.97999954,1/01/2023 7:50,36.0,,12.2,,,35.3,36.6,,,,1005.6,,23,0.0,0.0,,6,315.0,23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_jan.csv
202301013nz4dncjsee65f7oyyb96sm4se,408206028,145.0962067,-37.97999954,1/01/2023 8:50,34.1,,14.1,,,34.0,36.6,,,,1005.5,,30,0.0,0.0,,10,22.5,23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_jan.csv
20230101e8uknbrjzce65f7oyyb96sm4ma,408206028,145.0962067,-37.97999954,1/01/2023 9:50,31.8,,14.4,,,31.5,36.6,,,,1005.8,,34,0.0,0.0,,8,45.0,23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_jan.csv
20230101oituhawjace65f7oyyb96sm4se,408206028,145.0962067,-37.97999954,1/01/2023 10:50,28.6,,15.5,,,28.4,36.6,,,,1006.2,,45,0.0,0.0,,7,112.5,23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_jan.csv
