Id,Site Id,Longitude,Latitude,Report Date / Time,Air Temperature,Wet Bulb,Dew Point,Concrete Temp.,Grass Temp.,Min. Temp. (last 24hr),Max. Temp. (last 24hr),Soil Temp. (at 10cm),Soil Temp. (at 30cm),Soil Temp. (at 100cm),Mean Sea-Level Pressure,Pressure (At Station),Relative Humidity,Rainfall Rate,Rainfall Accumulation,Rainfall,Wind Speed,Wind Direction,Wind Gust,Wind Gust Direction,Snow Depth,Soil Moisture,Present Weather,Visibility,Total Cloud Cover,Sunshine,Ground State,Day of Thunder,Day of Gales,Day of Hail,Day of Snow,Weather Diary,Travel Disruption,Hazards causing Travel Disruption,Property or Infrastructure Damage,Hazards causing Property or Infrastructure Damage,Personal Health and Safety,Hazards causing Personal Health and Safety,Utility Disruption,Hazards causing Utility Disruption,Service or Business Disruption,Hazards causing Service or Business Disruption,Agriculture Habitat Damage,Hazards causing Agriculture Habitat Damage,Disruption to Camping Events Leisure Activities,Hazards causing Disruption to Camping Events Leisure Activities,v1_Coastal,v1_Flood,v1_Ice,v1_Landslide,v1_Lightning,v1_PoorVisibility,v1_Snow,v1_Wildfire,v1_Wind,v1_Other,file_name
﻿20221130qka3xpdojee65f7oyyb96sm4ma,408206028,145.096206665039,-37.9799995422363,2022-11-30 00:50:00,17.6,,9.5,,,10.7,17.7,,,,1019.5,,59,0,0,,9.0,202.5,14.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_nov.csv
202211307omi4cuokee65f7oyyb96sm4se,408206028,145.096206665039,-37.9799995422363,2022-11-30 01:50:00,17.3,,8.4,,,10.7,18.5,,,,1019.0,,56,0,0,,10.0,247.5,16.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_nov.csv
20221130gw5tgbdomce65f7oyyb96sm4ma,408206028,145.096206665039,-37.9799995422363,2022-11-30 02:50:00,17.6,,9.0,,,10.7,18.5,,,,1018.4,,57,0,0,,11.0,247.5,16.0,225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_nov.csv
20221130ssmkwfuocce65f7oyyb96sm4ma,408206028,145.096206665039,-37.9799995422363,2022-11-30 03:50:00,18.0,,9.6,,,10.7,18.5,,,,1018.0,,58,0,0,,11.0,225.0,16.0,225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_nov.csv
20221130e7rhwbdopoe65f7oyyb96sm4se,408206028,145.096206665039,-37.9799995422363,2022-11-30 04:50:00,17.1,,10.7,,,10.7,18.7,,,,1017.4,,66,0,0,,14.0,202.5,17.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_nov.csv
20221130ja8mxrdoqoe65f7oyyb96sm4se,408206028,145.096206665039,-37.9799995422363,2022-11-30 05:50:00,17.5,,10.6,,,10.7,18.7,,,,1017.3,,64,0,0,,12.0,202.5,18.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_nov.csv
202211303sounf5oxoe65f7oyyb96sm4se,408206028,145.096206665039,-37.9799995422363,2022-11-30 06:50:00,16.9,,10.1,,,10.7,18.7,,,,1017.4,,64,0,0,,13.0,202.5,18.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_nov.csv
20221130mtmp75uoowe65f7oyyb96sm4ma,408206028,145.096206665039,-37.9799995422363,2022-11-30 07:50:00,16.6,,10.7,,,16.3,18.7,,,,1017.6,,68,0,0,,12.0,225.0,18.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_nov.csv
202211301dutr9motwe65f7oyyb96sm4se,408206028,145.096206665039,-37.9799995422363,2022-11-30 08:50:00,15.7,,10.7,,,15.5,18.7,,,,1018.0,,72,0,0,,8.0,180.0,18.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_nov.csv
2022113055a8fg5o1we65f7oyyb96sm4se,408206028,145.096206665039,-37.9799995422363,2022-11-30 09:50:00,14.5,,9.1,,,14.4,18.7,,,,1018.5,,70,0,0,,9.0,157.5,18.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_nov.csv
20221130p4wwt55ouae65f7oyyb96sm4se,408206028,145.096206665039,-37.9799995422363,2022-11-30 10:50:00,13.6,,10.0,,,13.2,18.7,,,,1018.9,,79,0,0,,8.0,157.5,18.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_nov.csv
20221130hu6x1wuowae65f7oyyb96sm4se,408206028,145.096206665039,-37.9799995422363,2022-11-30 11:50:00,13.1,,10.5,,,11.7,18.7,,,,1019.0,,84,0,0,,7.0,180.0,18.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_nov.csv
20221130b3p7uy5oihe65f7oyyb96sm4ma,408206028,145.096206665039,-37.9799995422363,2022-11-30 12:50:00,12.8,,10.5,,,11.7,18.7,,,,1019.0,,86,0,0,,6.0,157.5,18.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_nov.csv
20221130k7kamqmoshe65f7oyyb96sm4ma,408206028,145.096206665039,-37.9799995422363,2022-11-30 13:50:00,12.3,,10.4,,,11.7,18.7,,,,1018.5,,88,0,0,,6.0,180.0,8.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_nov.csv
20221130bmtcaymoaye65f7oyyb96sm4ma,408206028,145.096206665039,-37.9799995422363,2022-11-30 14:50:00,10.8,,9.2,,,10.8,18.7,,,,1018.0,,90,0,0,,5.0,112.5,8.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_nov.csv
202211308cg19y5o3ye65f7oyyb96sm4ma,408206028,145.096206665039,-37.9799995422363,2022-11-30 15:50:00,11.1,,10.0,,,10.4,18.7,,,,1017.9,,93,0,0,,4.0,90.0,8.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_nov.csv
20221130trony1uo4ye65f7oyyb96sm4ma,408206028,145.096206665039,-37.9799995422363,2022-11-30 16:50:00,12.7,,11.3,,,10.4,18.7,,,,1017.7,,91,0,0,,4.0,157.5,8.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_nov.csv
202211306g7grj5o5ye65f7oyyb96sm4se,408206028,145.096206665039,-37.9799995422363,2022-11-30 17:50:00,13.0,,11.4,,,10.4,18.7,,,,1017.6,,90,0,0,,2.0,157.5,8.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mor_nov.csv
