Id,Site Id,Longitude,Latitude,Report Date / Time,Air Temperature,Wet Bulb,Dew Point,Concrete Temp.,Grass Temp.,Min. Temp. (last 24hr),Max. Temp. (last 24hr),Soil Temp. (at 10cm),Soil Temp. (at 30cm),Soil Temp. (at 100cm),Mean Sea-Level Pressure,Pressure (At Station),Relative Humidity,Rainfall Rate,Rainfall Accumulation,Rainfall,Wind Speed,Wind Direction,Wind Gust,Wind Gust Direction,Snow Depth,Soil Moisture,Present Weather,Visibility,Total Cloud Cover,Sunshine,Ground State,Day of Thunder,Day of Gales,Day of Hail,Day of Snow,Weather Diary,Travel Disruption,Hazards causing Travel Disruption,Property or Infrastructure Damage,Hazards causing Property or Infrastructure Damage,Personal Health and Safety,Hazards causing Personal Health and Safety,Utility Disruption,Hazards causing Utility Disruption,Service or Business Disruption,Hazards causing Service or Business Disruption,Agriculture Habitat Damage,Hazards causing Agriculture Habitat Damage,Disruption to Camping Events Leisure Activities,Hazards causing Disruption to Camping Events Leisure Activities,v1_Coastal,v1_Flood,v1_Ice,v1_Landslide,v1_Lightning,v1_PoorVisibility,v1_Snow,v1_Wildfire,v1_Wind,v1_Other,file_name
﻿20221201wadxr5mtnce65f7oyyb96sm4ma,431896034,145.0971985,-37.74079895,1/12/2022 0:50,18.1,,12.5,,,11.0,18.2,,,,1018.3,,70,0.0,0.0,,4,180.0,14,112.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_dec.csv
20221201brcdf55tdoe65f7oyyb96sm4ma,431896034,145.0971985,-37.74079895,1/12/2022 1:50,18.1,,12.8,,,11.0,18.4,,,,1017.9,,71,0.0,0.0,,5,135.0,14,112.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_dec.csv
20221201k3e6uy5troe65f7oyyb96sm4se,431896034,145.0971985,-37.74079895,1/12/2022 2:50,18.0,,12.7,,,11.0,18.7,,,,1017.6,,71,0.0,0.0,,5,157.5,14,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_dec.csv
20221201b4bw7kmtfwe65f7oyyb96sm4ma,431896034,145.0971985,-37.74079895,1/12/2022 3:50,18.6,,10.7,,,11.0,19.3,,,,1017.1,,60,0.0,0.0,,9,180.0,18,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_dec.csv
20221201jqgz4gutgwe65f7oyyb96sm4se,431896034,145.0971985,-37.74079895,1/12/2022 4:50,19.9,,11.1,,,11.0,19.9,,,,1017.0,,57,0.0,0.0,,6,157.5,18,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_dec.csv
20221201towmocut8we65f7oyyb96sm4se,431896034,145.0971985,-37.74079895,1/12/2022 5:50,18.0,,9.9,,,11.0,20.4,,,,1016.9,,59,0.0,0.0,,10,180.0,19,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_dec.csv
20221201h5izhp5tewe65f7oyyb96sm4se,431896034,145.0971985,-37.74079895,1/12/2022 6:50,17.7,,11.0,,,11.0,20.4,,,,1017.0,,65,0.0,0.0,,6,157.5,19,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_dec.csv
20221201oom3o4utjae65f7oyyb96sm4ma,431896034,145.0971985,-37.74079895,1/12/2022 7:50,16.6,,9.5,,,16.6,20.4,,,,1017.3,,63,0.0,0.0,,12,180.0,19,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_dec.csv
20221201upuwkkdtkae65f7oyyb96sm4se,431896034,145.0971985,-37.74079895,1/12/2022 8:50,15.3,,9.0,,,15.3,20.4,,,,1017.8,,66,0.0,0.0,,7,157.5,19,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_dec.csv
20221201nt31mzutmhe65f7oyyb96sm4se,431896034,145.0971985,-37.74079895,1/12/2022 9:50,14.3,,8.5,,,14.3,20.4,,,,1018.1,,68,0.0,0.0,,6,180.0,19,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_dec.csv
