Id,Site Id,Longitude,Latitude,Report Date / Time,Air Temperature,Wet Bulb,Dew Point,Concrete Temp.,Grass Temp.,Min. Temp. (last 24hr),Max. Temp. (last 24hr),Soil Temp. (at 10cm),Soil Temp. (at 30cm),Soil Temp. (at 100cm),Mean Sea-Level Pressure,Pressure (At Station),Relative Humidity,Rainfall Rate,Rainfall Accumulation,Rainfall,Wind Speed,Wind Direction,Wind Gust,Wind Gust Direction,Snow Depth,Soil Moisture,Present Weather,Visibility,Total Cloud Cover,Sunshine,Ground State,Day of Thunder,Day of Gales,Day of Hail,Day of Snow,Weather Diary,Travel Disruption,Hazards causing Travel Disruption,Property or Infrastructure Damage,Hazards causing Property or Infrastructure Damage,Personal Health and Safety,Hazards causing Personal Health and Safety,Utility Disruption,Hazards causing Utility Disruption,Service or Business Disruption,Hazards causing Service or Business Disruption,Agriculture Habitat Damage,Hazards causing Agriculture Habitat Damage,Disruption to Camping Events Leisure Activities,Hazards causing Disruption to Camping Events Leisure Activities,v1_Coastal,v1_Flood,v1_Ice,v1_Landslide,v1_Lightning,v1_PoorVisibility,v1_Snow,v1_Wildfire,v1_Wind,v1_Other,file_name
﻿202302014coqn67b3ce65gsryyb96smozo,431896034,145.097198486328,-37.7407989501953,2023-02-01 00:50:00,20.3,,11.0,,,12.9,22.6,,,,1006.3,,55,0.0,0.0,,8.0,225.0,17.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_feb.csv
20230201mffuos7b4oe65gsryyb96smozo,431896034,145.097198486328,-37.7407989501953,2023-02-01 01:50:00,16.7,,16.7,,,12.9,22.6,,,,1006.7,,100,0.0,0.2,,8.0,202.5,19.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_feb.csv
20230201sebfqy7b5oe65gsryyb96scn7a,431896034,145.097198486328,-37.7407989501953,2023-02-01 02:50:00,18.6,,12.1,,,12.9,22.6,,,,1006.6,,66,0.0,0.2,,13.0,180.0,21.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_feb.csv
202302018o5eadpbhwe65gsryyb96smozo,431896034,145.097198486328,-37.7407989501953,2023-02-01 03:50:00,18.3,,12.1,,,12.9,22.6,,,,1006.4,,67,0.0,0.2,,8.0,180.0,21.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_feb.csv
20230201qzumgspb7we65gsryyb96scn7a,431896034,145.097198486328,-37.7407989501953,2023-02-01 04:50:00,18.4,,11.7,,,12.9,22.6,,,,1006.0,,65,0.0,0.2,,8.0,202.5,21.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_feb.csv
202302014q5ezgpb6we65gsryyb96scn7a,431896034,145.097198486328,-37.7407989501953,2023-02-01 05:50:00,19.2,,11.3,,,12.9,22.6,,,,1005.5,,60,0.0,0.2,,5.0,202.5,21.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_feb.csv
20230201k47p8sib9ae65gsryyb96smozo,431896034,145.097198486328,-37.7407989501953,2023-02-01 06:50:00,18.8,,10.6,,,12.9,22.6,,,,1005.1,,59,0.0,0.2,,5.0,202.5,21.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_feb.csv
20230201wnhjswpnyae65gsryyb96scn7a,431896034,145.097198486328,-37.7407989501953,2023-02-01 07:50:00,18.1,,9.2,,,18.1,22.6,,,,1004.9,,56,0.0,0.2,,8.0,202.5,21.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_feb.csv
20230201htcz3afnbae65gsryyb96smozo,431896034,145.097198486328,-37.7407989501953,2023-02-01 08:50:00,17.4,,9.6,,,17.4,22.6,,,,1004.9,,60,0.0,0.2,,5.0,180.0,21.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_feb.csv
20230201j4jx8qpnnhe65gsryyb96smozo,431896034,145.097198486328,-37.7407989501953,2023-02-01 09:50:00,16.5,,8.5,,,16.5,22.6,,,,1005.1,,59,0.0,0.2,,5.0,180.0,21.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_feb.csv
20230201haaouafndhe65gsryyb96smozo,431896034,145.097198486328,-37.7407989501953,2023-02-01 10:50:00,16.1,,9.1,,,16.0,22.6,,,,1005.3,,63,0.0,0.2,,7.0,247.5,21.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_feb.csv
20230201nbdhaj7nfye65gsryyb96smozo,431896034,145.097198486328,-37.7407989501953,2023-02-01 11:50:00,15.5,,9.0,,,15.4,22.6,,,,1005.2,,65,0.0,0.2,,5.0,247.5,21.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_feb.csv
20230201iysfb5pngye65gsryyb96smozo,431896034,145.097198486328,-37.7407989501953,2023-02-01 12:50:00,14.8,,8.5,,,14.7,22.6,,,,1004.3,,66,0.0,0.2,,0.0,0.0,21.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_feb.csv
202302016snwc47n8ye65gsryyb96scn7a,431896034,145.097198486328,-37.7407989501953,2023-02-01 13:50:00,14.4,,8.1,,,14.3,22.6,,,,1003.4,,66,0.0,0.2,,0.0,0.0,4.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_feb.csv
20230201e3obxn7nere65gsryyb96smozo,431896034,145.097198486328,-37.7407989501953,2023-02-01 14:50:00,13.6,,8.4,,,13.6,22.6,,,,1002.5,,71,0.0,0.2,,0.0,0.0,4.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_feb.csv
20230201iggp39pnjre65gsryyb96smozo,431896034,145.097198486328,-37.7407989501953,2023-02-01 15:50:00,12.5,,9.1,,,12.4,22.6,,,,1001.4,,80,0.0,0.2,,0.0,0.0,4.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_feb.csv
20230201bc4o5pfnkee65gsryyb96scn7a,431896034,145.097198486328,-37.7407989501953,2023-02-01 16:50:00,11.1,,9.7,,,11.1,22.6,,,,1000.1,,91,0.0,0.2,,0.0,0.0,5.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_feb.csv
20230201o5o8y7fnmee65gsryyb96smozo,431896034,145.097198486328,-37.7407989501953,2023-02-01 17:50:00,11.1,,10.3,,,10.9,22.6,,,,999.7,,95,0.0,0.2,,0.0,0.0,5.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_feb.csv
20230201za99ih7ncee65gsryyb96smozo,431896034,145.097198486328,-37.7407989501953,2023-02-01 18:50:00,11.3,,10.5,,,10.9,22.6,,,,999.5,,95,0.0,0.2,,0.0,0.0,5.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_feb.csv
20230201fcd8t4pnpce65gsryyb96smozo,431896034,145.097198486328,-37.7407989501953,2023-02-01 19:50:00,12.0,,10.4,,,10.9,12.0,,,,999.1,,90,0.0,0.2,,2.0,202.5,5.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_feb.csv
202302011q4c8rfnqce65gsryyb96smozo,431896034,145.097198486328,-37.7407989501953,2023-02-01 20:50:00,13.2,,9.3,,,10.9,13.2,,,,998.8,,77,0.0,0.2,,4.0,292.5,5.0,292.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_feb.csv
202302014dzszwinxce65gsryyb96smozo,431896034,145.097198486328,-37.7407989501953,2023-02-01 21:50:00,14.7,,6.3,,,10.9,14.7,,,,998.3,,57,0.0,0.2,,7.0,292.5,10.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_feb.csv
20230201pwos7wfnooe65gsryyb96smozo,431896034,145.097198486328,-37.7407989501953,2023-02-01 22:50:00,16.6,,4.6,,,10.9,16.6,,,,997.6,,45,0.0,0.0,,10.0,292.5,15.0,292.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_feb.csv
202302015jqpuepntoe65gsryyb96smozo,431896034,145.097198486328,-37.7407989501953,2023-02-01 23:50:00,17.1,,4.4,,,10.9,18.8,,,,996.2,,43,0.0,0.0,,8.0,315.0,17.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_feb.csv
﻿20230202dkk597in1we65gsryyb96smozo,431896034,145.097198486328,-37.7407989501953,2023-02-02 00:50:00,18.7,,4.5,,,10.9,19.7,,,,995.2,,39,0.0,0.0,,5.0,292.5,18.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_feb.csv
20230202t13qfe7nuwe65gsryyb96smozo,431896034,145.097198486328,-37.7407989501953,2023-02-02 01:50:00,20.1,,5.4,,,10.9,20.5,,,,994.0,,38,0.0,0.0,,11.0,315.0,22.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_feb.csv
20230202h6mh1a7nwwe65gsryyb96scn7a,431896034,145.097198486328,-37.7407989501953,2023-02-02 02:50:00,19.7,,5.4,,,10.9,21.6,,,,992.4,,39,0.0,0.0,,12.0,337.5,30.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_feb.csv
20230202f58qfhfniae65gsryyb96smozo,431896034,145.097198486328,-37.7407989501953,2023-02-02 03:50:00,19.0,,5.5,,,10.9,21.6,,,,991.5,,41,0.0,0.0,,16.0,337.5,30.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_feb.csv
