Id,Site Id,Longitude,Latitude,Report Date / Time,Air Temperature,Wet Bulb,Dew Point,Concrete Temp.,Grass Temp.,Min. Temp. (last 24hr),Max. Temp. (last 24hr),Soil Temp. (at 10cm),Soil Temp. (at 30cm),Soil Temp. (at 100cm),Mean Sea-Level Pressure,Pressure (At Station),Relative Humidity,Rainfall Rate,Rainfall Accumulation,Rainfall,Wind Speed,Wind Direction,Wind Gust,Wind Gust Direction,Snow Depth,Soil Moisture,Present Weather,Visibility,Total Cloud Cover,Sunshine,Ground State,Day of Thunder,Day of Gales,Day of Hail,Day of Snow,Weather Diary,Travel Disruption,Hazards causing Travel Disruption,Property or Infrastructure Damage,Hazards causing Property or Infrastructure Damage,Personal Health and Safety,Hazards causing Personal Health and Safety,Utility Disruption,Hazards causing Utility Disruption,Service or Business Disruption,Hazards causing Service or Business Disruption,Agriculture Habitat Damage,Hazards causing Agriculture Habitat Damage,Disruption to Camping Events Leisure Activities,Hazards causing Disruption to Camping Events Leisure Activities,v1_Coastal,v1_Flood,v1_Ice,v1_Landslide,v1_Lightning,v1_PoorVisibility,v1_Snow,v1_Wildfire,v1_Wind,v1_Other,file_name
﻿20230101ajhdeohjphe65f7oyyb96sm4se,431896034,145.097198486328,-37.7407989501953,2023-01-01 00:50:00,32.0,,16.7,,,16.6,32.3,,,,1009.7,,40,0.0,0.0,,5.0,90.0,12.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_jan.csv
20230101gn4677cjxye65f7oyyb96sm4se,431896034,145.097198486328,-37.7407989501953,2023-01-01 01:50:00,33.0,,15.0,,,16.6,33.9,,,,1009.3,,33,0.0,0.0,,9.0,337.5,15.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_jan.csv
20230101t4g179wjoye65f7oyyb96sm4ma,431896034,145.097198486328,-37.7407989501953,2023-01-01 02:50:00,35.1,,16.4,,,16.6,35.1,,,,1008.7,,32,0.0,0.0,,7.0,337.5,17.0,337.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_jan.csv
202301017d3hufcjtye65f7oyyb96sm4se,431896034,145.097198486328,-37.7407989501953,2023-01-01 03:50:00,34.6,,15.0,,,16.6,35.5,,,,1007.9,,31,0.0,0.0,,4.0,315.0,17.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_jan.csv
20230101mkwrckrj1re65f7oyyb96sm4ma,431896034,145.097198486328,-37.7407989501953,2023-01-01 04:50:00,34.2,,14.1,,,16.6,35.5,,,,1007.3,,29,0.0,0.0,,6.0,315.0,17.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_jan.csv
20230101udmao1hjure65f7oyyb96sm4se,431896034,145.097198486328,-37.7407989501953,2023-01-01 05:50:00,33.8,,13.8,,,16.6,35.5,,,,1006.8,,30,0.0,0.0,,1.0,315.0,17.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_jan.csv
20230101njy7uucjwee65f7oyyb96sm4se,431896034,145.097198486328,-37.7407989501953,2023-01-01 06:50:00,35.2,,14.5,,,16.6,35.8,,,,1006.1,,29,0.0,0.0,,3.0,67.5,17.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_jan.csv
20230101pzh8gerjiee65f7oyyb96sm4se,431896034,145.097198486328,-37.7407989501953,2023-01-01 07:50:00,33.8,,14.3,,,33.2,35.8,,,,1005.9,,31,0.0,0.0,,1.0,0.0,17.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_jan.csv
202301013nz4ddhjsee65f7oyyb96sm4se,431896034,145.097198486328,-37.7407989501953,2023-01-01 08:50:00,32.9,,14.5,,,32.9,35.8,,,,1005.8,,33,0.0,0.0,,6.0,90.0,17.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_jan.csv
20230101e8uknnwjzce65f7oyyb96sm4ma,431896034,145.097198486328,-37.7407989501953,2023-01-01 09:50:00,29.8,,14.4,,,29.8,35.8,,,,1006.0,,39,0.0,0.0,,5.0,90.0,17.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_jan.csv
