Id,Site Id,Longitude,Latitude,Report Date / Time,Air Temperature,Wet Bulb,Dew Point,Concrete Temp.,Grass Temp.,Min. Temp. (last 24hr),Max. Temp. (last 24hr),Soil Temp. (at 10cm),Soil Temp. (at 30cm),Soil Temp. (at 100cm),Mean Sea-Level Pressure,Pressure (At Station),Relative Humidity,Rainfall Rate,Rainfall Accumulation,Rainfall,Wind Speed,Wind Direction,Wind Gust,Wind Gust Direction,Snow Depth,Soil Moisture,Present Weather,Visibility,Total Cloud Cover,Sunshine,Ground State,Day of Thunder,Day of Gales,Day of Hail,Day of Snow,Weather Diary,Travel Disruption,Hazards causing Travel Disruption,Property or Infrastructure Damage,Hazards causing Property or Infrastructure Damage,Personal Health and Safety,Hazards causing Personal Health and Safety,Utility Disruption,Hazards causing Utility Disruption,Service or Business Disruption,Hazards causing Service or Business Disruption,Agriculture Habitat Damage,Hazards causing Agriculture Habitat Damage,Disruption to Camping Events Leisure Activities,Hazards causing Disruption to Camping Events Leisure Activities,v1_Coastal,v1_Flood,v1_Ice,v1_Landslide,v1_Lightning,v1_PoorVisibility,v1_Snow,v1_Wildfire,v1_Wind,v1_Other,file_name
﻿20221130qka3xodojee65f7oyyb96sm4ma,431896034,145.097198486328,-37.7407989501953,2022-11-30 00:50:00,17.3,,10.7,,,9.7,19.0,,,,1019.1,,65,0.0,0.0,,8.0,180.0,10.0,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_nov.csv
202211307omi4qdokee65f7oyyb96sm4se,431896034,145.097198486328,-37.7407989501953,2022-11-30 01:50:00,18.0,,9.4,,,9.7,19.0,,,,1018.4,,57,0.0,0.0,,8.0,180.0,13.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_nov.csv
20221130gw5tgnuomce65f7oyyb96sm4ma,431896034,145.097198486328,-37.7407989501953,2022-11-30 02:50:00,18.8,,9.6,,,9.7,19.2,,,,1018.0,,55,0.0,0.0,,9.0,180.0,16.0,225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_nov.csv
20221130ssmkw8docce65f7oyyb96sm4ma,431896034,145.097198486328,-37.7407989501953,2022-11-30 03:50:00,19.1,,10.1,,,9.7,19.8,,,,1017.4,,56,0.0,0.0,,7.0,225.0,17.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_nov.csv
20221130e7rhwnuopoe65f7oyyb96sm4se,431896034,145.097198486328,-37.7407989501953,2022-11-30 04:50:00,19.5,,9.7,,,9.7,20.2,,,,1016.7,,53,0.0,0.0,,9.0,180.0,17.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_nov.csv
20221130ja8mxfuoqoe65f7oyyb96sm4se,431896034,145.097198486328,-37.7407989501953,2022-11-30 05:50:00,17.9,,10.0,,,9.7,20.2,,,,1016.7,,60,0.0,0.0,,8.0,180.0,19.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_nov.csv
202211303soun8moxoe65f7oyyb96sm4se,431896034,145.097198486328,-37.7407989501953,2022-11-30 06:50:00,18.5,,9.6,,,9.7,20.2,,,,1016.7,,56,0.0,0.0,,10.0,202.5,19.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_nov.csv
20221130mtmp77doowe65f7oyyb96sm4ma,431896034,145.097198486328,-37.7407989501953,2022-11-30 07:50:00,17.4,,10.1,,,17.4,20.2,,,,1017.1,,62,0.0,0.0,,9.0,180.0,19.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_nov.csv
202211301dutfy5otwe65f7oyyb96sm4se,431896034,145.097198486328,-37.7407989501953,2022-11-30 08:50:00,15.8,,9.5,,,15.7,20.2,,,,1017.8,,66,0.0,0.0,,8.0,180.0,19.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_nov.csv
2022113055a8femo1we65f7oyyb96sm4se,431896034,145.097198486328,-37.7407989501953,2022-11-30 09:50:00,14.7,,10.5,,,14.6,20.2,,,,1018.0,,76,0.0,0.0,,10.0,180.0,19.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb_nov.csv
