Date,Time,Temperature_C,Dew_Point_C,Humidity_%,Wind,Speed_kmh,Gust_kmh,Pressure_hPa,Precip_Rate_mm,Precip_Accum_mm,UV,Solar_w/m2,file_name
1/12/2022,12:04 AM,11.33,10.44,94.0,South,2.09,4.83,1016.26,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,12:09 AM,11.39,10.44,94.0,South,2.57,4.51,1016.26,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,12:14 AM,11.33,10.44,94.0,SSE,0.8,5.15,1016.26,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,12:19 AM,11.28,10.39,94.0,SSW,0.97,3.06,1016.26,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,12:24 AM,11.28,10.44,95.0,South,0.48,3.06,1016.26,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,12:29 AM,11.28,10.44,95.0,SSE,2.09,5.47,1016.26,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,12:34 AM,11.28,10.5,95.0,SSE,1.93,5.31,1015.92,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,12:39 AM,11.28,10.5,95.0,South,3.06,5.47,1015.92,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,12:44 AM,11.28,10.5,95.0,SSE,2.09,7.08,1015.92,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,12:49 AM,11.28,10.5,95.0,SSE,1.61,4.99,1015.92,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,12:54 AM,11.28,10.44,95.0,SSE,0.64,4.83,1015.92,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,12:59 AM,11.17,10.39,95.0,South,0.8,4.02,1015.92,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,1:04 AM,11.22,10.44,95.0,SSE,1.93,5.79,1015.92,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,1:09 AM,11.17,10.61,96.0,SSE,1.93,4.99,1015.92,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,1:14 AM,11.17,10.56,96.0,South,1.13,3.86,1015.92,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,1:19 AM,11.11,10.5,96.0,SSW,2.09,4.51,1015.92,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,1:24 AM,11.11,10.5,96.0,SSW,2.09,4.67,1015.58,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,1:29 AM,11.17,10.67,97.0,South,1.29,4.02,1015.92,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,1:34 AM,11.17,10.78,97.0,South,3.7,5.47,1015.58,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,1:39 AM,11.17,10.78,97.0,South,2.9,4.83,1015.58,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,1:44 AM,11.17,10.78,97.0,SSE,1.13,4.51,1015.58,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,1:49 AM,11.22,10.83,97.0,SSE,0.64,4.18,1015.58,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,1:54 AM,11.22,10.83,97.0,SSE,1.45,5.47,1015.58,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,1:59 AM,11.22,10.83,97.0,SSE,0.16,3.7,1015.58,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,2:04 AM,11.28,10.83,97.0,SSE,0.8,3.54,1015.58,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,2:09 AM,11.28,10.89,97.0,South,1.61,4.67,1015.58,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,2:14 AM,11.33,10.89,97.0,South,1.77,5.15,1015.58,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,2:19 AM,11.33,10.94,97.0,SSE,1.93,3.86,1015.58,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,2:24 AM,11.39,10.94,97.0,South,0.48,2.25,1015.24,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,2:29 AM,11.44,11.06,97.0,SSE,0.97,3.7,1015.24,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,2:34 AM,11.39,11.0,97.0,SSE,3.22,6.44,1015.24,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,2:39 AM,11.5,11.11,97.0,SSE,2.25,5.15,1015.24,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,2:44 AM,11.5,11.11,97.0,SSE,2.57,5.31,1015.24,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,2:49 AM,11.56,11.17,97.0,SSE,3.38,7.08,1015.24,0.0,0.0,0.0,0.0,IDIGGE1.csv
1/12/2022,2:54 AM,11.56,11.17,97.0,SSE,2.09,5.47,1015.24,0.0,0.0,0.0,0.0,IDIGGE1.csv
