Date,Time,Temperature_C,Dew_Point_C,Humidity_%,Wind,Speed_kmh,Gust_kmh,Pressure_hPa,Precip_Rate_mm,Precip_Accum_mm,UV,Solar_w/m2,file_name
2022/12/01,12:04 AM,12.39,10.0,86.0,South,0.97,3.86,998.98,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,12:09 AM,12.39,10.11,86.0,South,1.61,3.54,998.98,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,12:14 AM,12.33,10.06,86.0,South,1.61,3.86,998.65,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,12:19 AM,12.33,10.06,86.0,South,2.09,4.34,998.98,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,12:24 AM,12.33,10.06,86.0,South,0.97,4.34,998.65,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,12:29 AM,12.33,10.06,86.0,South,1.13,4.34,998.65,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,12:34 AM,12.28,10.06,86.0,South,1.77,4.02,998.65,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,12:39 AM,12.22,10.17,87.0,South,1.77,3.38,998.31,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,12:44 AM,12.22,10.17,87.0,South,0.97,3.38,998.31,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,12:49 AM,12.22,10.11,87.0,South,1.13,2.9,998.65,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,12:54 AM,12.22,10.11,87.0,South,1.77,4.18,998.65,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,12:59 AM,12.22,10.22,88.0,SSE,0.8,3.86,998.65,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,01:04 AM,12.17,10.17,88.0,South,1.29,3.54,998.31,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,01:09 AM,12.11,10.11,88.0,South,0.64,3.22,998.31,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,01:14 AM,12.17,10.17,88.0,SSE,1.13,3.86,998.31,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,01:19 AM,12.11,10.11,88.0,South,0.97,4.02,998.31,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,01:24 AM,12.17,10.17,88.0,South,0.97,3.54,998.31,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,01:29 AM,12.17,10.17,88.0,South,0.97,3.06,998.31,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,01:34 AM,12.22,10.22,88.0,SSW,1.29,3.7,998.31,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,01:39 AM,12.22,10.22,88.0,SSW,1.29,3.54,998.31,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,01:44 AM,12.17,10.17,88.0,South,1.29,3.7,998.31,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,01:49 AM,12.17,10.28,88.0,South,1.45,4.02,997.97,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,01:54 AM,12.17,10.33,89.0,South,1.77,3.86,998.31,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,01:59 AM,12.22,10.39,89.0,South,0.8,4.02,997.97,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,02:04 AM,12.22,10.39,89.0,South,1.61,4.34,997.97,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,02:09 AM,12.22,10.39,89.0,South,1.61,4.51,997.97,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,02:14 AM,12.22,10.39,89.0,South,0.64,4.18,997.97,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,02:19 AM,12.17,10.39,89.0,SSW,1.61,3.86,997.97,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,02:24 AM,12.22,10.39,89.0,SSW,0.48,3.22,997.97,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,02:29 AM,12.17,10.33,89.0,SSE,1.29,4.83,997.97,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,02:34 AM,12.22,10.39,89.0,South,1.13,2.74,997.97,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,02:39 AM,12.22,10.39,89.0,SSE,1.61,3.54,997.97,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,02:44 AM,12.22,10.44,89.0,South,2.09,3.7,997.97,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,02:49 AM,12.22,10.44,89.0,SSE,2.57,5.15,997.97,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,02:54 AM,12.28,10.5,89.0,SSE,2.74,5.31,997.97,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,02:59 AM,12.28,10.5,89.0,South,2.57,5.47,997.97,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,03:04 AM,12.28,10.5,89.0,South,1.93,5.15,997.97,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,03:09 AM,12.28,10.5,89.0,South,2.41,5.15,997.97,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,03:14 AM,12.28,10.56,89.0,SSE,2.09,5.47,997.97,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,03:19 AM,12.22,10.56,90.0,SSW,0.8,4.02,997.97,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,03:24 AM,12.17,10.56,90.0,SSW,1.61,4.51,997.63,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,03:29 AM,12.17,10.56,90.0,South,1.61,4.83,997.63,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,03:34 AM,12.17,10.56,90.0,South,1.93,4.02,997.97,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,03:39 AM,12.17,10.56,90.0,South,2.41,5.31,997.63,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,03:44 AM,12.11,10.5,90.0,SSW,2.09,6.11,997.63,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,03:49 AM,12.11,10.56,90.0,SSW,2.41,7.24,997.63,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,03:54 AM,12.11,10.67,91.0,South,2.41,6.76,997.63,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,03:59 AM,12.17,10.72,91.0,SSW,2.41,6.28,997.63,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,04:04 AM,12.17,10.72,91.0,South,1.29,4.67,997.63,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,04:09 AM,12.11,10.72,91.0,South,2.57,4.83,997.97,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,04:14 AM,12.11,10.72,91.0,South,1.61,4.02,997.63,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,04:19 AM,12.17,10.72,91.0,SSE,0.97,4.02,997.63,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,04:24 AM,12.22,10.78,91.0,SE,1.29,3.54,997.63,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,04:29 AM,12.22,10.78,91.0,SE,2.74,4.18,997.63,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,04:34 AM,12.22,10.78,91.0,SSE,0.8,3.7,997.63,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,04:39 AM,12.22,10.78,91.0,SE,1.93,4.34,997.97,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,04:44 AM,12.22,10.78,91.0,SE,1.13,4.83,997.97,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,04:49 AM,12.22,10.78,91.0,SE,1.29,4.02,997.97,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,04:54 AM,12.22,10.78,91.0,SSE,1.29,3.54,997.97,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,04:59 AM,12.17,10.78,91.0,SSE,0.8,3.22,997.63,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,05:09 AM,12.22,10.83,91.0,ESE,0.8,3.7,997.97,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,05:14 AM,12.22,10.83,91.0,SE,2.09,4.02,997.97,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,05:19 AM,12.22,10.78,91.0,SSE,0.48,3.7,997.97,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,05:24 AM,12.22,10.83,91.0,SE,1.29,3.38,997.97,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,05:29 AM,12.22,11.0,92.0,SSE,0.48,2.74,997.97,0.0,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,05:34 AM,12.22,11.0,92.0,SE,0.32,2.41,997.97,0.51,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,05:39 AM,12.28,11.11,92.0,SSE,0.8,2.41,997.97,0.51,0.0,0.0,0.0,IMELBOUR128.csv
2022/12/01,05:44 AM,12.22,11.06,92.0,South,0.64,2.57,997.97,1.27,0.25,0.0,0.0,IMELBOUR128.csv
2022/12/01,05:49 AM,12.17,10.94,92.0,SSE,0.48,2.41,997.97,0.51,0.25,0.0,0.0,IMELBOUR128.csv
2022/12/01,05:54 AM,12.11,10.89,92.0,SSE,0.0,0.8,997.97,0.0,0.25,0.0,0.0,IMELBOUR128.csv
2022/12/01,05:59 AM,12.17,10.94,92.0,ESE,0.0,1.61,998.31,0.0,0.25,0.0,0.0,IMELBOUR128.csv
2022/12/01,06:04 AM,12.17,11.0,92.0,SE,0.16,1.29,998.31,0.0,0.25,0.0,0.0,IMELBOUR128.csv
2022/12/01,06:09 AM,12.28,11.06,92.0,SSE,0.97,3.38,998.31,0.0,0.25,0.0,2.5,IMELBOUR128.csv
2022/12/01,06:14 AM,12.28,11.11,92.0,ESE,0.0,2.09,998.31,0.0,0.25,0.0,2.5,IMELBOUR128.csv
2022/12/01,06:19 AM,12.33,11.11,92.0,SSE,0.48,2.74,998.31,0.51,0.25,0.0,4.9,IMELBOUR128.csv
2022/12/01,06:24 AM,12.33,11.17,92.0,SE,0.48,3.06,998.31,0.51,0.25,0.0,4.9,IMELBOUR128.csv
2022/12/01,06:29 AM,12.44,11.22,92.0,SE,1.45,3.86,998.31,0.51,0.25,0.0,1.2,IMELBOUR128.csv
2022/12/01,06:34 AM,12.5,11.33,93.0,SE,0.64,3.06,998.31,0.0,0.25,0.0,2.5,IMELBOUR128.csv
2022/12/01,06:39 AM,12.44,11.33,93.0,SE,0.8,2.9,998.31,0.0,0.25,0.0,4.9,IMELBOUR128.csv
2022/12/01,06:44 AM,12.33,11.28,93.0,SE,1.93,4.02,998.65,0.0,0.25,0.0,9.8,IMELBOUR128.csv
2022/12/01,06:49 AM,12.28,11.17,93.0,SSE,1.29,3.54,998.31,0.0,0.25,0.0,13.4,IMELBOUR128.csv
2022/12/01,06:54 AM,12.22,11.11,93.0,South,0.8,2.9,998.31,0.0,0.25,0.0,20.8,IMELBOUR128.csv
2022/12/01,06:59 AM,12.33,11.22,93.0,SSE,0.97,2.74,998.31,0.0,0.25,0.0,25.7,IMELBOUR128.csv
2022/12/01,07:04 AM,12.44,11.33,93.0,SSE,0.32,2.41,998.31,0.0,0.25,0.0,40.3,IMELBOUR128.csv
2022/12/01,07:09 AM,12.78,11.56,92.0,South,0.8,2.41,998.31,0.0,0.25,0.0,72.1,IMELBOUR128.csv
2022/12/01,07:14 AM,12.83,11.61,92.0,SW,1.13,3.54,998.65,0.0,0.25,0.0,34.3,IMELBOUR128.csv
2022/12/01,07:19 AM,12.72,11.5,92.0,South,0.48,2.74,998.31,0.0,0.25,0.0,44.0,IMELBOUR128.csv
2022/12/01,07:24 AM,12.78,11.56,92.0,SSE,1.45,4.83,998.31,0.0,0.25,0.0,59.9,IMELBOUR128.csv
2022/12/01,07:29 AM,12.89,11.67,92.0,SSE,1.45,3.86,998.31,0.0,0.25,0.0,56.3,IMELBOUR128.csv
2022/12/01,07:34 AM,12.94,11.78,92.0,SSE,1.29,4.99,998.31,0.0,0.25,0.0,47.7,IMELBOUR128.csv
2022/12/01,07:39 AM,12.94,11.78,92.0,SSE,1.45,4.34,998.31,0.0,0.25,0.0,36.7,IMELBOUR128.csv
2022/12/01,07:44 AM,12.78,11.39,91.0,SE,2.57,6.92,998.31,0.0,0.25,0.0,39.2,IMELBOUR128.csv
2022/12/01,07:49 AM,12.89,11.44,91.0,SE,2.74,5.31,998.65,0.0,0.25,0.0,44.0,IMELBOUR128.csv
2022/12/01,07:54 AM,13.0,11.61,91.0,South,1.13,3.54,998.65,0.0,0.25,0.0,57.5,IMELBOUR128.csv
2022/12/01,07:59 AM,13.17,11.78,91.0,SSE,1.13,3.86,998.65,0.0,0.25,0.0,96.6,IMELBOUR128.csv
