Date,Time,Temperature_C,Dew_Point_C,Humidity_%,Wind,Speed_kmh,Gust_kmh,Pressure_hPa,Precip_Rate_mm,Precip_Accum_mm,UV,Solar_w/m2,file_name
2022/12/01,12:04 AM,12.56,10.33,86.0,SW,0.0,0.16,1011.85,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,12:09 AM,12.5,10.39,87.0,WSW,0.0,0.16,1011.85,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,12:14 AM,12.44,10.44,88.0,WSW,0.0,0.0,1012.19,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,12:19 AM,12.56,10.56,88.0,SW,0.0,0.16,1011.85,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,12:24 AM,12.61,10.61,88.0,West,0.0,0.32,1011.85,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,12:29 AM,12.61,10.61,88.0,WSW,0.0,0.32,1011.85,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,12:34 AM,12.61,10.61,88.0,SW,0.32,0.48,1011.51,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,12:39 AM,12.5,10.5,88.0,SW,0.16,0.48,1011.51,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,12:44 AM,12.5,10.5,88.0,WSW,0.16,0.8,1011.51,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,12:49 AM,12.39,10.44,88.0,SW,0.16,0.48,1011.85,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,12:54 AM,12.39,10.61,89.0,SW,0.48,1.29,1011.85,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,12:59 AM,12.28,10.5,89.0,SW,0.0,0.16,1011.51,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,01:04 AM,12.22,10.39,89.0,SW,0.0,0.16,1011.51,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,01:09 AM,12.11,10.33,89.0,West,0.0,0.0,1011.51,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,01:14 AM,11.94,10.33,90.0,WNW,0.0,0.0,1011.51,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,01:19 AM,11.89,10.28,90.0,West,0.0,0.0,1011.18,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,01:24 AM,11.78,10.22,90.0,WNW,0.0,0.0,1011.18,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,01:29 AM,11.56,10.17,91.0,WNW,0.0,0.0,1011.18,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,01:34 AM,11.39,10.0,91.0,WNW,0.0,0.0,1011.18,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,01:39 AM,11.28,10.06,92.0,WNW,0.0,0.0,1011.18,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,01:44 AM,11.17,9.94,92.0,NW,0.0,0.0,1011.18,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,01:49 AM,11.0,9.83,93.0,WNW,0.0,0.0,1011.18,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,01:54 AM,10.89,9.78,93.0,WNW,0.0,0.0,1011.18,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,01:59 AM,10.94,9.89,93.0,WNW,0.0,0.0,1011.18,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,02:04 AM,10.78,9.72,94.0,WNW,0.0,0.0,1011.18,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,02:09 AM,10.72,9.72,94.0,WNW,0.0,0.0,1011.18,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,02:14 AM,10.61,9.61,94.0,WNW,0.0,0.0,1011.18,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,02:19 AM,10.39,9.39,94.0,West,0.0,0.0,1011.18,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,02:24 AM,10.39,9.39,94.0,WNW,0.0,0.0,1011.18,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,02:29 AM,10.5,9.5,94.0,WNW,0.0,0.0,1011.18,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,02:34 AM,10.83,10.0,95.0,NW,0.0,0.0,1011.18,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,02:39 AM,11.11,10.28,95.0,WNW,0.0,0.0,1011.18,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,02:44 AM,10.94,10.17,95.0,WNW,0.0,0.0,1011.18,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,02:49 AM,11.0,10.22,95.0,WNW,0.0,0.0,1011.18,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,02:54 AM,11.11,10.28,95.0,WNW,0.0,0.0,1011.18,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,02:59 AM,11.28,10.5,95.0,WNW,0.0,0.0,1011.18,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,03:04 AM,11.44,10.67,95.0,West,0.0,0.0,1010.84,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,03:09 AM,11.72,10.89,95.0,West,0.0,0.16,1011.18,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,03:14 AM,11.83,11.0,95.0,WNW,0.0,0.0,1011.18,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,03:19 AM,11.89,10.89,94.0,WNW,0.0,0.0,1011.18,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,03:24 AM,11.89,10.89,94.0,WNW,0.0,0.0,1011.18,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,03:29 AM,12.0,11.0,94.0,WSW,0.0,0.0,1010.84,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,03:34 AM,12.11,11.11,94.0,West,0.0,0.0,1010.84,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,03:39 AM,12.22,11.11,93.0,WSW,0.0,0.16,1010.84,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,03:44 AM,12.28,11.17,93.0,WSW,0.16,0.48,1010.84,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,03:49 AM,12.39,11.22,92.0,WSW,0.0,0.16,1010.84,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,03:54 AM,12.5,11.17,91.0,WSW,0.32,0.8,1010.84,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,03:59 AM,12.56,11.17,91.0,West,0.0,0.0,1010.84,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,04:04 AM,12.61,11.22,91.0,West,0.0,0.0,1010.84,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,04:09 AM,12.61,11.22,91.0,SW,0.16,0.32,1010.84,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,04:14 AM,12.61,11.22,91.0,East,0.0,0.16,1010.84,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,04:19 AM,12.67,11.22,91.0,NNE,0.0,0.16,1010.84,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,04:24 AM,12.72,11.28,91.0,East,0.0,0.16,1010.84,0.0,0.0,0.0,0.0,IVCTBELL6.csv
2022/12/01,04:29 AM,12.72,11.28,91.0,NE,0.16,0.32,1010.84,0.0,0.0,0.0,0.0,IVCTBELL6.csv
