Date,Time,Temperature_C,Dew_Point_C,Humidity_%,Wind,Speed_kmh,Gust_kmh,Pressure_hPa,Precip_Rate_mm,Precip_Accum_mm,UV,Solar_w/m2,file_name
2022/12/01,12:04 AM,16.11,11.0,72.0,SSE,8.21,20.11,1014.22,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,12:09 AM,16.11,11.0,72.0,SSE,10.46,20.11,1014.22,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,12:14 AM,16.11,11.0,72.0,SE,10.46,20.11,1014.22,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,12:19 AM,16.06,10.94,72.0,SE,8.37,20.11,1014.22,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,12:24 AM,16.0,10.89,72.0,SSE,8.69,20.11,1013.88,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,12:29 AM,16.0,10.89,72.0,SSE,9.01,18.99,1013.88,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,12:34 AM,16.06,10.94,72.0,SSE,10.78,18.34,1013.88,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,12:39 AM,16.06,10.94,72.0,SE,7.08,18.34,1013.88,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,12:44 AM,16.06,10.94,72.0,SSE,12.39,18.34,1013.88,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,12:49 AM,16.0,10.89,72.0,SSE,10.78,16.57,1013.88,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,12:54 AM,16.06,10.94,72.0,SE,12.39,16.57,1013.88,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,12:59 AM,16.06,10.94,72.0,SE,11.58,17.22,1013.88,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,01:04 AM,16.0,11.06,72.0,SE,10.14,19.47,1013.88,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,01:09 AM,15.94,11.17,73.0,SE,6.76,19.47,1013.88,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,01:14 AM,16.0,11.22,73.0,SE,11.75,19.47,1013.55,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,01:19 AM,16.0,11.22,73.0,SE,10.62,19.47,1013.55,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,01:24 AM,16.0,11.39,74.0,SE,8.04,19.47,1013.55,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,01:29 AM,15.94,11.33,74.0,SE,4.99,19.47,1013.21,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,01:34 AM,15.94,11.33,74.0,ESE,5.15,19.47,1013.55,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,01:39 AM,16.0,11.39,74.0,ESE,4.02,19.47,1013.21,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,01:44 AM,16.0,11.22,73.0,ESE,4.02,19.47,1013.21,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,01:49 AM,16.0,11.22,73.0,ESE,6.11,19.47,1013.21,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,01:54 AM,16.11,11.28,73.0,ESE,6.28,19.47,1013.21,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,01:59 AM,16.11,11.28,73.0,ESE,5.15,17.06,1013.21,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,02:04 AM,16.0,11.22,73.0,ESE,8.04,15.45,1013.21,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,02:09 AM,16.0,11.22,73.0,SE,7.08,15.45,1013.21,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,02:14 AM,15.94,11.28,74.0,ESE,6.11,15.45,1013.21,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,02:19 AM,15.89,11.22,74.0,ESE,5.95,11.91,1013.21,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,02:24 AM,15.94,11.33,74.0,ESE,4.99,9.65,1012.87,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,02:29 AM,15.89,11.28,74.0,SE,5.47,9.65,1013.21,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,02:34 AM,15.83,11.28,74.0,SE,6.44,9.65,1013.21,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,02:39 AM,15.83,11.28,74.0,SE,7.4,9.65,1013.21,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,02:44 AM,15.89,11.28,74.0,SE,6.11,9.65,1013.21,0.0,0.0,,2.0,IVCTFOOT2.csv
2022/12/01,02:49 AM,15.83,11.22,74.0,SE,7.88,11.26,1013.21,0.0,0.0,,2.0,IVCTFOOT2.csv
