Date,Time,Temperature_C,Dew_Point_C,Humidity_%,Wind,Speed_kmh,Gust_kmh,Pressure_hPa,Precip_Rate_mm,Precip_Accum_mm,UV,Solar_w/m2,file_name
2022/12/01,12:04 AM,12.28,10.22,87.0,WSW,0.97,1.77,1018.63,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,12:09 AM,12.22,10.17,88.0,SSW,0.8,1.29,1018.96,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,12:14 AM,12.22,10.22,88.0,South,1.13,1.93,1018.96,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,12:19 AM,12.22,10.22,88.0,WSW,1.93,3.38,1018.63,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,12:24 AM,12.33,10.33,88.0,West,1.77,3.54,1018.63,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,12:29 AM,12.39,10.39,88.0,SW,2.25,3.54,1018.63,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,12:34 AM,12.39,10.39,88.0,South,1.13,2.41,1018.63,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,12:39 AM,12.44,10.44,88.0,SW,1.45,2.57,1018.63,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,12:44 AM,12.5,10.5,88.0,SW,0.97,1.93,1018.63,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,12:49 AM,12.5,10.5,88.0,SW,1.13,1.93,1018.63,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,12:54 AM,12.39,10.39,88.0,SW,0.48,1.13,1018.63,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,12:59 AM,12.33,10.33,88.0,SW,0.64,1.29,1018.63,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,01:04 AM,12.44,10.44,88.0,WSW,2.9,4.51,1018.63,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,01:09 AM,12.5,10.5,88.0,WSW,1.61,2.57,1018.29,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,01:14 AM,12.5,10.5,88.0,SW,1.29,2.74,1018.29,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,01:19 AM,12.56,10.56,88.0,SW,1.13,2.25,1018.29,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,01:24 AM,12.61,10.61,88.0,SW,1.29,2.25,1018.29,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,01:29 AM,12.61,10.61,88.0,SSW,1.29,2.25,1018.29,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,01:34 AM,12.61,10.61,88.0,SSW,1.45,2.74,1018.29,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,01:39 AM,12.5,10.61,88.0,SSW,1.13,2.25,1018.29,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,01:44 AM,12.39,10.61,89.0,SSW,1.13,2.41,1018.29,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,01:49 AM,12.28,10.5,89.0,SW,1.29,2.25,1018.29,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,01:54 AM,12.17,10.39,89.0,SW,0.48,0.97,1018.29,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,01:59 AM,11.94,10.33,90.0,SSW,0.64,1.29,1018.29,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,02:04 AM,11.83,10.22,90.0,South,0.48,0.97,1018.29,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,02:09 AM,11.72,10.22,90.0,SSW,0.32,0.8,1018.29,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,02:14 AM,11.61,10.22,91.0,SSW,0.32,0.8,1017.95,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,02:19 AM,11.56,10.17,91.0,South,0.48,0.97,1017.95,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,02:24 AM,11.5,10.11,91.0,SW,0.97,1.61,1017.95,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,02:29 AM,11.5,10.17,91.0,SW,0.64,0.97,1017.95,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,02:34 AM,11.33,10.17,92.0,South,0.0,0.16,1017.95,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,02:39 AM,11.28,10.06,92.0,South,0.0,0.0,1017.95,0.0,0.0,0.0,0.0,IVCTGREE6.csv
2022/12/01,02:44 AM,11.28,10.11,92.0,SSW,0.16,0.32,1017.95,0.0,0.0,0.0,0.0,IVCTGREE6.csv
