Date,Time,Temperature_C,Dew_Point_C,Humidity_%,Wind,Speed_kmh,Gust_kmh,Pressure_hPa,Precip_Rate_mm,Precip_Accum_mm,UV,Solar_w/m2,file_name
2022/12/01,12:04 AM,15.06,11.11,77.0,SE,3.86,11.58,1018.96,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,12:09 AM,15.0,10.78,77.0,SE,6.11,11.26,1018.96,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,12:14 AM,14.89,10.56,77.0,SE,4.18,11.26,1018.96,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,12:19 AM,14.83,10.56,78.0,SSE,4.18,11.26,1018.63,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,12:24 AM,14.72,10.56,78.0,SSE,3.86,9.65,1018.63,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,12:29 AM,14.67,10.56,78.0,SE,3.22,10.94,1018.63,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,12:34 AM,14.61,10.56,78.0,ESE,2.57,11.26,1018.63,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,12:39 AM,14.61,10.56,78.0,SE,4.51,12.23,1018.63,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,12:44 AM,14.56,10.56,78.0,SE,3.22,14.48,1018.63,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,12:49 AM,14.56,10.56,79.0,SE,6.11,13.84,1018.29,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,12:54 AM,14.56,10.56,79.0,SSE,7.4,14.48,1018.29,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,12:59 AM,14.5,10.56,79.0,ESE,4.83,14.48,1018.29,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,01:04 AM,14.44,10.56,79.0,SE,4.83,12.87,1018.29,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,01:09 AM,14.44,10.56,80.0,SE,3.54,12.87,1018.29,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,01:14 AM,14.39,10.56,80.0,SE,2.9,12.23,1018.29,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,01:19 AM,14.33,10.56,80.0,SE,4.18,10.94,1018.29,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,01:24 AM,14.28,10.56,80.0,SE,2.9,11.26,1017.95,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,01:29 AM,14.22,10.56,80.0,SE,2.9,9.98,1017.95,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,01:34 AM,14.17,10.56,80.0,SE,3.22,9.33,1017.95,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,01:39 AM,14.11,10.56,80.0,SE,1.93,9.65,1017.95,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,01:44 AM,14.06,10.56,80.0,ESE,2.25,7.08,1017.95,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,01:49 AM,14.0,10.56,80.0,ESE,2.9,6.44,1017.95,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,01:54 AM,14.0,10.56,81.0,SE,6.11,14.48,1017.95,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,01:59 AM,14.0,10.56,81.0,SE,1.93,14.48,1017.95,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,02:04 AM,14.0,10.56,81.0,ESE,2.9,9.33,1017.95,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,02:09 AM,14.0,10.56,81.0,ESE,2.57,6.11,1017.95,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,02:14 AM,14.0,10.56,81.0,ESE,3.22,7.72,1017.95,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,02:19 AM,13.94,10.56,82.0,SE,2.57,8.04,1017.95,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,02:24 AM,13.94,10.56,82.0,ESE,2.25,6.76,1017.95,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,02:29 AM,13.89,10.56,82.0,ESE,1.93,6.44,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,02:34 AM,13.94,10.56,82.0,East,3.86,6.44,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,02:39 AM,14.0,10.89,82.0,East,4.83,9.01,1017.95,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,02:44 AM,14.0,11.11,82.0,East,4.51,9.65,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,02:49 AM,14.0,11.11,83.0,East,4.51,9.65,1017.95,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,02:54 AM,13.94,11.11,83.0,East,4.83,9.65,1017.95,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,02:59 AM,13.94,11.11,83.0,East,4.18,9.65,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,03:04 AM,13.89,11.11,83.0,East,5.47,10.3,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,03:09 AM,13.89,11.11,83.0,East,5.47,11.26,1017.95,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,03:14 AM,13.89,11.11,84.0,ESE,6.11,11.26,1017.95,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,03:19 AM,13.89,11.11,84.0,East,5.15,11.26,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,03:24 AM,13.83,11.11,84.0,East,5.79,11.26,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,03:29 AM,13.83,11.11,84.0,ESE,5.15,9.98,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,03:34 AM,13.83,11.11,84.0,East,2.9,9.65,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,03:39 AM,13.83,11.11,84.0,East,2.9,9.65,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,03:44 AM,13.83,11.11,84.0,ESE,2.57,7.08,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,03:49 AM,13.83,11.11,84.0,ESE,3.54,6.44,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,03:54 AM,13.83,11.11,84.0,ESE,1.93,6.44,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,03:59 AM,13.83,11.11,84.0,ESE,2.25,6.44,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,04:04 AM,13.89,11.11,84.0,ESE,0.97,6.44,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,04:09 AM,13.89,11.11,84.0,ESE,1.61,5.47,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,04:14 AM,13.89,11.11,85.0,ESE,3.22,4.83,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,04:19 AM,13.94,11.11,85.0,SE,2.25,5.79,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,04:24 AM,14.0,11.11,85.0,SE,8.69,12.55,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,04:29 AM,14.11,11.67,85.0,SE,5.47,16.09,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,04:34 AM,14.17,11.67,85.0,SE,7.56,14.16,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,04:39 AM,14.22,11.67,85.0,SSE,4.51,12.87,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,04:44 AM,14.28,11.67,85.0,SE,4.18,12.87,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,04:49 AM,14.28,11.67,85.0,SE,4.51,14.48,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,04:54 AM,14.33,11.67,85.0,SE,4.51,14.48,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,04:59 AM,14.39,11.67,85.0,SE,4.18,12.87,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,05:04 AM,14.39,11.67,85.0,SE,3.54,11.58,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,05:09 AM,14.44,11.67,85.0,SSE,3.54,11.26,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,05:14 AM,14.44,11.67,85.0,ESE,2.9,9.33,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,05:19 AM,14.39,11.67,85.0,ESE,3.54,12.23,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,05:24 AM,14.33,11.67,85.0,SSE,3.54,12.87,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,05:29 AM,14.28,11.67,84.0,ESE,3.54,9.65,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,05:34 AM,14.28,11.67,84.0,East,3.22,8.37,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,05:39 AM,14.28,11.67,84.0,ESE,3.22,9.65,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
2022/12/01,05:44 AM,14.28,11.67,84.0,SE,1.61,7.72,1017.61,0.0,0.0,0.0,0.0,IVICMOON2.csv
