Date,Time,Temperature_C,Dew_Point_C,Humidity_%,Wind,Speed_kmh,Gust_kmh,Pressure_hPa,Precip_Rate_mm,Precip_Accum_mm,UV,Solar_w/m2,file_name
2022/12/01,12:03 AM,13.56,10.72,83.0,SSW,3.54,9.65,1018.63,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,12:13 AM,13.5,10.67,83.0,SSW,3.86,9.65,1018.96,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,12:20 AM,13.5,10.83,84.0,SSW,3.38,7.24,1017.61,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,12:30 AM,13.39,10.78,84.0,SW,3.38,13.35,1017.27,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,12:43 AM,13.44,10.83,84.0,SSW,4.67,10.46,1018.29,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,12:50 AM,13.39,10.94,85.0,SSW,4.51,11.1,1017.27,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,01:00 AM,13.22,10.72,85.0,SSW,2.74,7.24,1016.93,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,01:14 AM,13.11,10.83,86.0,SW,2.09,6.76,1017.95,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,01:20 AM,13.0,10.72,86.0,SSW,1.45,6.11,1016.59,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,01:30 AM,13.0,10.89,87.0,SSW,2.09,7.24,1016.93,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,01:40 AM,13.11,11.0,87.0,SSW,2.9,11.1,1016.59,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,01:50 AM,12.89,10.78,87.0,SSW,1.45,3.54,1016.59,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,02:00 AM,12.72,10.78,88.0,SSW,1.29,7.24,1016.93,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,02:10 AM,12.5,10.72,89.0,SSW,0.48,3.54,1016.59,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,02:21 AM,12.28,10.56,89.0,SSW,0.16,1.29,1017.61,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,02:26 AM,12.39,10.61,89.0,SSW,0.0,2.57,1017.61,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,02:30 AM,12.39,10.61,89.0,SSW,0.64,3.54,1016.59,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,02:40 AM,12.39,10.78,90.0,SSW,1.29,6.11,1016.59,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,02:47 AM,12.5,10.89,90.0,SSW,2.57,3.54,1017.61,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,02:50 AM,12.39,10.78,90.0,SSW,2.09,3.54,1016.59,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,02:58 AM,12.22,10.61,90.0,SSW,1.29,3.54,1017.95,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,03:00 AM,12.22,10.61,90.0,SSW,1.29,3.54,1016.59,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,03:10 AM,12.11,10.67,91.0,SSW,0.64,3.54,1016.59,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,03:20 AM,12.11,10.67,91.0,SSW,0.48,3.54,1016.59,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,03:30 AM,12.22,10.78,91.0,SSW,0.8,2.57,1016.59,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,03:40 AM,12.39,10.94,91.0,SSW,1.29,3.54,1016.59,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,03:51 AM,12.72,11.11,90.0,SSW,2.09,4.83,1017.95,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,04:00 AM,12.89,11.28,90.0,SSW,2.9,7.24,1016.59,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,04:13 AM,13.11,11.33,89.0,SSW,2.74,4.83,1017.61,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,04:18 AM,13.22,11.44,89.0,SSW,3.06,6.11,1017.61,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,04:20 AM,13.22,11.44,89.0,SSW,2.57,9.65,1016.59,0.0,0.0,0.0,0.0,IVICTORI978.csv
2022/12/01,04:29 AM,13.28,11.5,89.0,South,1.13,3.54,1017.27,0.0,0.0,0.0,0.0,IVICTORI978.csv
