Date,Time,Temperature_C,Dew_Point_C,Humidity_%,Wind,Speed_kmh,Gust_kmh,Pressure_hPa,Precip_Rate_mm,Precip_Accum_mm,UV,Solar_w/m2,file_name
2022/12/01,12:04 AM,11.89,9.89,88.0,South,5.15,10.78,997.63,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,12:09 AM,11.83,9.83,88.0,SSE,3.06,8.37,997.97,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,12:14 AM,11.72,9.72,88.0,SSE,2.57,6.44,997.63,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,12:19 AM,11.67,9.83,89.0,SSE,2.25,7.72,997.63,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,12:24 AM,11.61,9.78,89.0,SSE,3.54,7.4,997.63,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,12:29 AM,11.72,9.89,89.0,SE,1.93,7.72,997.63,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,12:34 AM,11.83,10.06,89.0,SE,3.38,7.4,997.63,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,12:39 AM,11.89,10.11,89.0,SSE,2.74,9.65,997.63,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,12:44 AM,11.89,10.22,90.0,SE,3.54,10.78,997.63,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,12:49 AM,11.83,10.28,90.0,SSE,3.7,10.94,997.29,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,12:54 AM,11.83,10.28,90.0,SSE,3.06,7.24,997.29,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,12:59 AM,11.83,10.06,89.0,SSE,2.57,7.24,997.29,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,01:04 AM,11.78,9.94,89.0,South,3.22,9.17,997.29,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,01:09 AM,11.72,9.94,89.0,SSE,2.9,7.88,997.29,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,01:14 AM,11.72,10.0,90.0,SE,3.7,10.78,997.29,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,01:19 AM,11.78,10.17,90.0,SSE,4.18,7.72,996.95,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,01:24 AM,11.89,10.28,90.0,South,3.06,8.53,997.29,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,01:29 AM,11.89,10.28,90.0,SSE,4.02,10.14,997.29,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,01:34 AM,11.83,10.28,90.0,South,2.25,7.4,997.29,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,01:39 AM,11.78,10.22,90.0,SSE,2.09,6.11,997.29,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,01:44 AM,11.61,10.22,91.0,SSE,2.25,6.44,997.29,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,01:49 AM,11.44,10.11,91.0,South,2.09,8.69,997.29,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,01:54 AM,11.33,10.17,92.0,SSE,1.77,5.63,996.95,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,01:59 AM,11.22,10.06,92.0,SSE,1.93,4.83,997.29,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,02:04 AM,11.22,10.11,93.0,SSE,2.09,7.24,996.95,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,02:09 AM,11.11,10.0,93.0,SSE,2.57,5.95,996.95,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,02:14 AM,11.06,9.94,93.0,SE,2.09,6.6,996.95,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,02:19 AM,11.0,10.0,94.0,SSE,1.61,5.47,996.95,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,02:24 AM,10.89,9.89,94.0,SE,0.8,4.18,996.95,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,02:29 AM,10.83,9.83,94.0,SE,1.13,4.02,996.95,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,02:34 AM,10.78,9.78,94.0,SE,0.64,3.22,996.61,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,02:39 AM,10.78,9.83,94.0,SE,1.29,4.34,996.95,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,02:44 AM,10.72,9.94,95.0,SSE,1.77,4.99,996.95,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,02:49 AM,10.72,9.94,95.0,SSE,1.29,4.34,996.95,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,02:54 AM,10.83,10.06,95.0,SSE,1.13,5.47,996.95,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,02:59 AM,10.94,10.17,95.0,SE,1.77,4.83,996.95,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,03:04 AM,11.11,10.28,95.0,SE,1.45,4.83,996.95,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,03:09 AM,11.11,10.28,95.0,SE,2.57,5.47,996.95,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,03:14 AM,11.06,10.28,95.0,SSE,2.25,5.31,996.61,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,03:19 AM,11.06,10.28,95.0,SE,2.25,6.28,996.95,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,03:24 AM,11.17,10.44,96.0,SE,2.41,5.95,996.61,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,03:29 AM,11.17,10.5,96.0,SE,1.61,4.34,996.61,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,03:34 AM,11.22,10.61,96.0,SSE,2.25,5.47,996.61,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,03:39 AM,11.22,10.61,96.0,SE,0.8,3.86,996.61,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,03:44 AM,11.22,10.67,96.0,SE,1.77,5.47,996.61,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,03:49 AM,11.28,10.72,96.0,SSE,1.45,4.67,996.61,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,03:54 AM,11.33,10.72,96.0,SE,1.77,5.63,996.61,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,03:59 AM,11.39,10.78,96.0,SSE,2.74,5.47,996.61,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,04:04 AM,11.44,10.83,96.0,SSE,2.9,7.88,996.61,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,04:09 AM,11.5,10.78,95.0,SE,1.61,4.02,996.61,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,04:14 AM,11.56,10.78,95.0,SE,1.29,5.63,996.61,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,04:19 AM,11.61,10.78,95.0,SE,1.13,4.99,996.61,0.0,0.0,0.0,0.0,IWOLLE16.csv
2022/12/01,04:24 AM,11.67,10.83,95.0,SE,1.45,4.99,996.61,0.0,0.0,0.0,0.0,IWOLLE16.csv
