p_id,file_name,station_name,latitude,longitude,elevation,hardware,software,lat_cal,long_cal,z_GEE
1,IMELBOUR613,Greensborough,37.708,145.097,85,Other,WeatherRanger V2.5.1,-37.708,145.097,81
2,IMELBO3535,Breese Street,37.761,144.962,15,Davis Vantage Vue (Wireless),meteobridge,-37.7608,144.962,53
3,IMELBO4021,heatsweather,37.676,145.058,117,Other,,-37.676,145.058,108
4,IMELBO2098,Bar Crestwood,37.713,145.067,96,Other,,-37.7129,145.067,115
5,IMELBO4107,Pantech WH2900,37.777,145.02,11,Ambient Weather WS-2090 (Wireless),EasyWeatherV1.6.9,-37.777,145.02,36
6,IMELBO1598,OscarMelbWeather,37.842,144.889,10,Other,EasyWeatherV1.6.9,-37.842,144.889,10
7,IMELBO453,Cabbage,37.773,145.031,41,,EasyWeatherV1.6.9,-37.773,145.031,38
8,IMELBO3090,Sagecon,37.827,144.91,3,Other,EasyWeatherV1.6.9,-37.827,144.91,2
9,IMELBO3864,Weeroona,37.786,145.032,9,,WS1900C_V1.2.1,-37.786,145.032,25
10,IVCCLIF3,Clifton Hill,37.793,145.002,30,rainWise WS-2000/MKIII,Weather View 32 v70,-37.7847,144.972,#N/A
11,IMELBO3451,Home,37.791,145,35,Other,EasyWeatherV1.6.4,-37.791,145,30
12,IVCTPRIN2,"Carlton North, Victoria",37.785,144.972,42,VCT,WeatherFlow,-37.7847,144.972,37
13,IMELBO3788,Fen's house,37.781,144.976,43,Other,GW1100C_V2.3.6,-37.781,144.976,36
14,IMELBOUR265,Brunswick East,37.777,144.975,46,Oregon Scientific Professional Weather Center,EasyWeatherPro_V5.1.9,-37.7768,144.975,43
15,IMELBO1405,EBV Rooftop,37.772,144.978,23,Davis Vantage Pro2 Plus (Wireless),meteobridge,-37.772,144.978,43
16,IMELBO3092,Ecotwit,37.77,144.971,13,Other,EasyWeatherV1.5.2,-37.77,144.971,45
17,IMELBO798,"Eveline St, Brunswick",37.771,144.964,49,Other,EasyWeatherV1.6.1,-37.771,144.964,46
18,IMELBO3654,Burchett 37,37.766,144.965,48,Other,,-37.766,144.965,48
19,IMELBO4156,WestsideWeather,37.791,144.847,36,Other,,-37.791,144.847,38
20,IMELBO3041,Hurley,37.758,144.966,17,Other,,-37.758,144.966,56
21,IMELBO3465,Holst@haddington,37.762,144.97,17,Other,,-37.762,144.97,51
22,IMELBOUR636,Brunswick,37.757,144.957,24,Other,EasyWeatherV1.2.,-37.7572,144.957,57
23,IVICTORI978,Brunswick Victoria Australia,37.755,144.957,59,Other,GW1100C_V2.3.7,-37.7548,144.957,55
24,IMELBO3095,Grandad's Weather,37.754,144.952,63,Other,,-37.7541,144.952,46
25,IMELBO265,Psw Brunswick West,37.759,144.949,45,Ambient Weather WS-2090 (Wireless),EasyWeatherV1.6.7,-37.7591,144.949,45
26,IVCTESSE4,Pascoe Vale South,37.747,144.929,28,Ambient Weather WS-2902,EasyWeatherV1.3.1,-37.7471,144.929,25
27,IMELBO1974,Coburg,37.742,144.96,21,Other,EasyWeatherV1.6.5,-37.7421,144.96,63
28,IMELBO3729,Mr Weather,37.737,144.963,58,Other,EasyWeatherV1.6.4,-37.7372,144.963,66
